sha,author_login,date,message,additions,deletions,total_changes,commit_count,total_prs,merged_prs,pr_acceptance_rate
73869f2e81467db8422cbb4831cce9a7bdc85c4b,Tavish9,2025-07-17 15:47:31+00:00,"Fix typing order (#39467)

* fix type order

* change all Union[str, dict] to Union[dict, str]

* add hf_parser test && fix test order

* add deepspeed dependency

* replace deepspeed with accelerator",32,25,57,1,3,3,1.0
bda75b4011239d065de84aa3e744b67ebfa7b245,hellopahe,2025-07-17 15:07:12+00:00,"Add unified logits_to_keep support to LLMClass (#39472)

* add supports for logits_to_keep for qwen25vl and glm4v

* Update relevant modular files",20,4,24,1,1,1,1.0
bf6c9976851627b545f071d4861c54cda7fdfe6b,gante,2025-07-17 14:29:57+00:00,"[serve] Add speech to text (`/v1/audio/transcriptions`) (#39434)

* Scaffolding

* Explicit content

* Naïve Responses API streaming implementation

* Cleanup

* Scaffolding

* Explicit content

* Naïve Responses API streaming implementation

* Cleanup

* use openai

* validate request, including detecting unused fields

* dict indexing

* dict var access

* tmp commit (tests failing)

* add slow

* use oai output type in completions

* (little rebase errors)

* working spec?

* guard type hint

* type hints. fix state (CB can now load different models)

* type hints; fn names; error type

* add docstrings

* responses + kv cache

* metadata support; fix kv cache; error event

* add output_index and content_index

* docstrings

* add test_build_response_event

* docs/comments

* gate test requirements; terminate cb manager on model switch

* nasty type hints

* more type hints

* disable validation by default; enable force models

* todo

* experiment: base model from typed dict

* audio working

* fix bad rebase

* load audio with librosa

* implement timed models

* almost working

* make fixup

* fix tests

* transcription request type

* tokenizer -> processor

* add example in docs

---------

Co-authored-by: Lysandre <hi@lysand.re>",355,104,459,10,616,539,0.88
8b3de61a65241d3c81902bc47902dc4a6033da94,zhaiji0727,2025-07-17 13:57:49+00:00,"Update integration_utils.py (#39469)

* Update integration_utils.py

sanitize mlflow upload metric

* Update integration_utils.py

change import order to pass CI

* Update integration_utils.py

add comments

* Update integration_utils.py

Remove whitespace from blank line",6,2,8,1,1,1,1.0
7fd60047c8fac34d15cfd9044737dce536afe576,peteryschneider,2025-07-17 13:23:29+00:00,"fix: ImageTextToTextPipeline handles user-defined generation_config (#39374)

fix: ImageTextToTextPipeline handles user-defined generation_config passed to the pipeline

Co-authored-by: Raushan Turganbay <raushan@huggingface.co>",5,0,5,1,1,1,1.0
60b5471da3c3d59b8695b9969817267179120add,cyyever,2025-07-17 13:21:59+00:00,"Enable some ruff checks for performance and readability (#39383)

* Fix inefficient sequence tests

Signed-off-by: cyy <cyyever@outlook.com>

* Enable PERF102

Signed-off-by: cyy <cyyever@outlook.com>

* Enable PLC1802

Signed-off-by: cyy <cyyever@outlook.com>

* Enable PLC0208

Signed-off-by: cyy <cyyever@outlook.com>

---------

Signed-off-by: cyy <cyyever@outlook.com>",40,40,80,5,56,43,0.77
fc700c2a26af9e1b27162d408e8edfa2903c715f,Stonepia,2025-07-17 13:12:32+00:00,"Fix convert_and_export_with_cache failures for GPU models (#38976)

* Add the `device` option for `generate()`

* Add device for default tensors to avoid tensor mismatch

* [test] Enable test_static_cache_exportability for torch_device

* infer device from the prompt_token_ids

* Add device for generated tensor

* [Test] Make `test_export_static_cache` tests to run on devices rather than only CPU

* fix format

* infer device from the model",57,27,84,1,1,1,1.0
54680d75c9ed32ca7d7b0266d0563dcdd6fd40e3,ydshieh,2025-07-17 13:06:23+00:00,"Update `GemmaIntegrationTest::test_model_2b_bf16_dola` (#39362)

fix

Co-authored-by: ydshieh <ydshieh@users.noreply.github.com>",1,1,2,32,1020,916,0.9
322400af58794ace3b3f97ecf927570b8c464bfc,klimarissa17,2025-07-17 13:06:04+00:00,fix a comment typo in utils.py (#39459),1,1,2,1,1,1,1.0
43f07018cff3c305e9d3a3782e3a95100800be4c,cyyever,2025-07-17 13:05:21+00:00,"Use newer typing notation (#38934)

Signed-off-by: cyy <cyyever@outlook.com>",2176,2263,4439,5,56,43,0.77
565dd0bad74a46d85c41e2d870f803d9e7a1a94e,SunMarc,2025-07-17 12:51:50+00:00,"Fix tests due to breaking change in accelerate (#39451)

* update values

* fix",6,6,12,4,135,119,0.88
26fed50460a8843399b58a23143a9e3f8a6f5aca,KKZ20,2025-07-17 08:54:23+00:00,fix max_length calculating using cu_seq_lens (#39341),3,1,4,1,1,1,1.0
cdfe6164b32d52f5d2125a29f0762e18ec5ac708,yushi2006,2025-07-17 08:24:30+00:00,"fix(pipelines): QA pipeline returns fewer than top_k results in batch mode (#39193)

* fixing the bug

* Try a simpler approach

* make fixup

---------

Co-authored-by: Matt <rocketknight1@gmail.com>",26,10,36,1,6,4,0.67
b85ed49e0a5f1bd9fd887f497d055b22b9319a12,renet10,2025-07-16 21:13:07+00:00,"Corrections to PR #38642 and enhancements to Wav2Vec2Processor __call__ and pad docstrings (#38822)

* Correcting PR #38642.  The PR removed references to the deprecated method ""as_target_processor()"" in the
__call__ and pad method docstrings, which is correct, but also removed all references to PreTrainedTokenizer,
which is incorrect.  This commit adds back the reference to PreTrainedTokenizer and also takes the
opportunity to enhance the docstrings with the invocation procedure post removal of ""as_target_processor()""
and adds information on return values.

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

* Update src/transformers/models/wav2vec2/processing_wav2vec2.py

Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>

---------

Co-authored-by: René Tio <tor@Jammer.local>
Co-authored-by: Steven Liu <59462357+stevhliu@users.noreply.github.com>",23,5,28,1,1,1,1.0
787a0128a92926c615b29abfa8dec40087c1d875,dhruvmalik007,2025-07-16 19:40:22+00:00,"create ijepa modelcard (ref : PR  #36979 ). (#39354)

* wip: adding first version of the IJEPA model card.

* refactor based on the @stevhliu feedbacks

* refactor:
- revert the accidental removal of the autodoc api description and the image reerece architecture

- general context updation.

* - changes of model for example quantization.
- merging the  quantization content.",80,34,114,1,1,1,1.0
48f2233cdfdf49551f689268ad82a9eba7d9345b,ridima11,2025-07-16 19:15:15+00:00,Improve grammar and clarity in perf_hardware.md (#39428),3,3,6,1,2,1,0.5
