sha,author_login,date,message,additions,deletions,total_changes,commit_count,total_prs,merged_prs,pr_acceptance_rate
85c5d93cbd049c4bd0679c36fd1ddcae8c37b642,davidism,2025-06-12 20:48:07+00:00,Merge branch 'stable',48,52,100,230,288,285,0.99
85cc71046475f9cb3efd17d496356795961249f9,davidism,2025-06-12 20:46:49+00:00,svg logo,48,52,100,230,288,285,0.99
284273e3c5d8005bbb4b43c4d934409a5215886e,davidism,2025-06-10 20:18:26+00:00,Merge branch 'stable',59,3,62,230,288,285,0.99
f17d9869489aea57d3fa05d5a3f1504fcf8e588c,davidism,2025-06-10 20:18:15+00:00,cleanup svg,59,3,62,230,288,285,0.99
d6009c0aeb3c7fe3a841733e9dbdfbbb63b9bfd1,davidism,2025-06-10 04:20:46+00:00,Merge branch 'stable',3,3,6,230,288,285,0.99
2b42a803a25e56a3a0e2af939ee5be4dcc3f29c8,davidism,2025-06-10 04:20:36+00:00,cleanup svg,3,3,6,230,288,285,0.99
211cce038ab6354a15a76b2c7f98fa98bfc9e6a3,davidism,2025-06-09 21:33:44+00:00,Merge branch 'stable',9,3,12,230,288,285,0.99
a7b67c99f922f26b1071a90994e14261dc0a6df2,davidism,2025-06-09 21:33:26+00:00,svg logo (#5757),9,3,12,230,288,285,0.99
a758915893352f5986c6ee101cdf7e3b7a64fa28,davidism,2025-06-09 21:31:31+00:00,svg logo,9,3,12,230,288,285,0.99
e9741288637e0d9abe95311247b4842a017f7d5c,davidism,2025-06-08 16:54:32+00:00,Merge branch 'stable',220,233,453,230,288,285,0.99
f04c5e696400badaa52b3450ded53e9091c2078a,davidism,2025-06-08 16:52:11+00:00,update dev dependencies,239,229,468,230,288,285,0.99
c07b201ce336c3e49ae3b6fa81aaf4fb871d90ba,davidism,2025-06-08 16:47:45+00:00,"Merge pull request #5754

remove slsa provenance",3,26,29,230,288,285,0.99
adeea0070700671230733879846417c80f4e62b1,davidism,2025-06-08 16:43:05+00:00,"remove slsa provenance

PyPI trusted publishing has its own attestation support now.",3,26,29,230,288,285,0.99
a42c4d54a3e5cd56c0700479ede75157a748acd6,davidism,2025-05-20 16:30:04+00:00,Fix global CONTRIBUTING link (#5737),1,1,2,230,288,285,0.99
184ec3c5453e1156372085df35e8d922ce7e3559,strugee,2025-05-18 15:11:00+00:00,Fix global CONTRIBUTING link,1,1,2,1,1,1,1.0
