sha,author_login,date,message,additions,deletions,total_changes,commit_count,total_prs,merged_prs,pr_acceptance_rate
e84793d7647510d0c1c2683efff88847680abbc3,reedwm,2025-07-17 00:37:36+00:00,"Rollback https://github.com/openxla/xla/commit/cf3dfa9723c4cd4e2b25a606207a201a95fe71db

It breaks some TPU HLO modules.

Reverts d5e9730378c34bb0634cc3fb3bd199f9d56467db

PiperOrigin-RevId: 783958796",178,680,858,2,30,30,1.0
06b5bcd5c650368253473111ff3e5393a2dc7381,ecalubaquib,2025-07-16 23:31:55+00:00,"No public description

PiperOrigin-RevId: 783939624",378,24,402,2,0,0,
21392a7966d96d6174419dbb23fea00e60debc19,rtg0795,2025-07-16 23:28:31+00:00,"Update release notes at HEAD

PiperOrigin-RevId: 783938512",12,24,36,2,43,40,0.93
044299a506483dc74aa7efbdc390f927a7532fc3,tensorflower-gardener,2025-07-16 23:13:08+00:00,"Support for nested while loops in while_loop_unroller.

PiperOrigin-RevId: 783933392",126,34,160,86,0,0,
79f66afd5b940e67c307c8ffad91f235714c5e09,tensorflower-gardener,2025-07-16 23:01:34+00:00,"Move op name longest prefix logic from annotation.cc to somewhere upper level
Correct op name for command buffer execution

PiperOrigin-RevId: 783928896",292,78,370,86,0,0,
cf83eeedacc54465f564782251b5fdf1fe14804e,SiqiaoWu1993,2025-07-16 22:42:46+00:00,"Internal change only

PiperOrigin-RevId: 783922916",11,40,51,2,0,0,
07fa8d56945bdedcc99ae6003b021ec99a0d9b70,marialyu,2025-07-16 22:10:44+00:00,"Refactor optimized div for int8 and uint8

PiperOrigin-RevId: 783911275",38,67,105,1,0,0,
f7dfba3f742c47cd67327f50944b4dc55ee1398a,tensorflower-gardener,2025-07-16 22:10:38+00:00,"Add Hermetic C++ Toolchains for Linux x86_64 builds.

Hermetic toolchains give us builds that are isolated from the host system, cutting down on unexpected dependencies and side effects.

With these changes, TensorFlow will build for Linux x86_64 architectures (both CPU and CUDA-enabled GPU) using self-contained C++ toolchains. If you need to use a non-hermetic toolchain, you can do so by adding the flag --config=clang_local. For remote builds with a non-hermetic toolchain, simply append _clang_local to your existing RBE flag. For example, if your hermetic RBE build uses --config=rbe_linux_cpu, the non-hermetic version would be --config=rbe_linux_cpu_clang_local.

    Example: Run CPU tests for Linux x86_64

    For hermetic tests, run following command (no env variables like CC, CXX, BAZEL_COMPILER, CLANG_COMPILER_PATH):
	bazel test \
		--config=avx_linux \
		--config=release_linux_base \
		--config=linux_cpu_pycpp_test_filters \
		--repo_env=HERMETIC_PYTHON_VERSION=3.11 \
		//tensorflow/... -- -//tensorflow/compiler/tf2tensorrt/... -//tensorflow/core/tpu/... -//tensorflow/lite/...  -//tensorflow/tools/toolchains/...

    For Linux x86_64 non-hermetic tests use commands with the flag ""--config=clang_local"" and env variables CC, CXX, BAZEL_COMPILER, CLANG_COMPILER_PATH, etc.:
	bazel test \
		--config=clang_local \
		--config=avx_linux \
		--config=release_linux_base \
		--config=linux_cpu_pycpp_test_filters \
		--repo_env=HERMETIC_PYTHON_VERSION=3.11 \
		--action_env=CLANG_COMPILER_PATH=/usr/lib/llvm-18/bin/clang \
		--host_action_env=CLANG_COMPILER_PATH=/usr/lib/llvm-18/bin/clang \
		--repo_env=CC=/usr/lib/llvm-18/bin/clang \
		--repo_env=CXX=/usr/lib/llvm-18/bin/clang++ \
		--repo_env=BAZEL_COMPILER=/usr/lib/llvm-18/bin/clang \
		//tensorflow/... -- -//tensorflow/compiler/tf2tensorrt/... -//tensorflow/core/tpu/... -//tensorflow/lite/...  -//tensorflow/tools/toolchains/...

PiperOrigin-RevId: 783911228",70,35,105,86,0,0,
3ee71d2c03b9733adaec1c88694b4a7905b1ea8d,ddunl,2025-07-16 21:55:21+00:00,"Migrate uses of `XLA_TEST_BACKEND` macros to use utilities in `xla_test_backend_predicates.h`

PiperOrigin-RevId: 783906093",13,7,20,6,0,0,
9f986b18d6d58ccba5dd180d8115dd5f8f2d634b,iumitakgun,2025-07-16 21:35:30+00:00,"[XLA] Refactoring Reduce Window Rewriter to reduce complexity

Generate Reduce Window on outer scan (Complexity 43 -> 40)

PiperOrigin-RevId: 783899692",59,31,90,2,0,0,
0908582562a5f3b3e741ab04f3b8613f244b7696,pschuh,2025-07-16 21:28:21+00:00,"[JAX]: rollforward. Add ability to add a transfer server factory to override
how transfers happen in xla::ifrt::PjRtClient.

PiperOrigin-RevId: 783896862",69,15,84,8,0,0,
209df15f06d48737250e178c0f26d6abd30cb1f6,tensorflower-gardener,2025-07-16 20:39:56+00:00,"Reverts changelist 783839015

COPYBARA_INTEGRATE_REVIEW=https://github.com/tensorflow/tensorflow/pull/96866 from zqw86713:pr96430_ut2 1256fef37830cfccb09a1fea5532db00ecb4dd4a
PiperOrigin-RevId: 783878611",300,196,496,86,0,0,
9fb89b065c9675309c7e626bb2b1eea558c1604f,tomnatan30,2025-07-16 18:22:31+00:00,"#sdy Mark `xla.sdy.LocalToGlobalShape` custom call as side effecting so it isn't removed if unused.

We also change `zero_sized_hlo_elimination` to eliminate `xla.sdy.LocalToGlobalShape` if it zero sized, so it's replaced with constants. This means `sdy-round-trip-shard-map-import` can see a manual computation call op with no uses, which we handle by erasing the op and called function.

PiperOrigin-RevId: 783829783",109,31,140,6,0,0,
71687388b35ca6bcea7513826f117715e4d475fa,tensorflower-gardener,2025-07-16 17:57:09+00:00,"Merge pull request #94881 from tensorflow:gaikwadrahul8-patch-1

PiperOrigin-RevId: 783816935",8,8,16,86,0,0,
