sha,author_login,date,message,additions,deletions,total_changes,commit_count,total_prs,merged_prs,pr_acceptance_rate
4a0aa9caba9be6ccc17de770efb3cdbe5b5d41a7,vercel-release-bot,2025-07-17 23:36:46+00:00,"Update Rspack development test manifest (#81747)

This auto-generated PR updates the development integration test manifest used when testing Rspack.",43,9,52,18,0,0,
2bd45abdb937e70739012f50298c180ecb0fa62b,vercel-release-bot,2025-07-17 23:27:02+00:00,"Update Rspack production test manifest (#81746)

This auto-generated PR updates the production integration test manifest used when testing Rspack.",25,8,33,18,0,0,
bbddbeeba2f0aacf1db39d7dd9f6d5be36e21aee,nextjs-bot,2025-07-17 23:24:57+00:00,v15.4.2-canary.7,34,34,68,38,0,0,
53a92f872236c9fd0208519a6e91e3d3187d8722,padmaia,2025-07-17 22:53:03+00:00,"Add trigger for v0 sync workflow (#81645)

<!-- Thanks for opening a PR! Your contribution is much appreciated.
To make sure your PR is handled as smoothly as possible we request that
you follow the checklist sections below.
Choose the right checklist for the change(s) that you're making:

## For Contributors

### Improving Documentation

- Run `pnpm prettier-fix` to fix formatting issues before opening the
PR.
- Read the Docs Contribution Guide to ensure your contribution follows
the docs guidelines:
https://nextjs.org/docs/community/contribution-guide

### Adding or Updating Examples

- The ""examples guidelines"" are followed from our contributing doc
https://github.com/vercel/next.js/blob/canary/contributing/examples/adding-examples.md
- Make sure the linting passes by running `pnpm build && pnpm lint`. See
https://github.com/vercel/next.js/blob/canary/contributing/repository/linting.md

### Fixing a bug

- Related issues linked using `fixes #number`
- Tests added. See:
https://github.com/vercel/next.js/blob/canary/contributing/core/testing.md#writing-tests-for-nextjs
- Errors have a helpful link attached, see
https://github.com/vercel/next.js/blob/canary/contributing.md

### Adding a feature

- Implements an existing feature request or RFC. Make sure the feature
request has been accepted for implementation before opening a PR. (A
discussion must be opened, see
https://github.com/vercel/next.js/discussions/new?category=ideas)
- Related issues/discussions are linked using `fixes #number`
- e2e tests added
(https://github.com/vercel/next.js/blob/canary/contributing/core/testing.md#writing-tests-for-nextjs)
- Documentation added
- Telemetry added. In case of a feature if it's used or not.
- Errors have a helpful link attached, see
https://github.com/vercel/next.js/blob/canary/contributing.md


## For Maintainers

- Minimal description (aim for explaining to someone not on the team to
understand the PR)
- When linking to a Slack thread, you might want to share details of the
conclusion
- Link both the Linear (Fixes NEXT-xxx) and the GitHub issues
- Add review comments if necessary to explain to the reviewer the logic
behind a change

### What?

### Why?

### How?

Closes NEXT-
Fixes #

-->",20,10,30,3,96,83,0.86
a87a0721098e3fb6fbfb9102f7c160917ae72461,Cy-Tek,2025-07-17 21:22:47+00:00,"fix(turbopack) Adjust the way catchall routes are handled when a more specific parallel route exists (#81634)

## Improve App Router Route Prioritization

### What?
Fixed a logic bug where we were failing to correctly identify routes as
catchall routes due to treating parallel routes as a completed route
path. This shouldn't happen because parallel routes do not affect the
routing structure.

### How?

- Modified the route selection logic to more clearly prioritize specific
routes over catch-all routes
- Make sure we only count true leaf nodes when determining when to use
the catch-all. Parallel is not a leaf node
- Added a test case to ensure middleware rewrites and redirects work
correctly with both parallel and non-parallel catch-all routes.

Fixes #PACK-4490",170,9,179,3,16,16,1.0
65e0b7b7579614b07a53ed24d229064c7e2f869d,ztanner,2025-07-17 20:31:55+00:00,"bugfix: static resources staleTime should be renewed once refetched (#81771)

When the `x-nextjs-staletime` header is sent from the server, the client
router was discarding all of its staleTime heuristics (such as
lastUsedTime and ""reusable"" cache entries). This caused an issue where
after the static staleTime window expired and the prefetch data was
renewed, the static staleTime itself was not being renewed.

As a result, once the static staleTime expired, the client would
continuously refetch the resource on every navigation, even though it
had just been renewed.

This removes the `x-nextjs-staleTime` logic from this heuristic because
it was only intended to be considered for the new `clientSegmentCache` &
cache components work",74,18,92,7,633,579,0.91
8a4abf7dc3b378bf9795c122b270534cae598357,nextjs-bot,2025-07-17 19:31:48+00:00,v15.4.2-canary.6,34,34,68,38,0,0,
5b998d69553df2f96c0dc398d8e483a6cc7c387f,wyattjoh,2025-07-17 19:23:46+00:00,"fix: revert client segment route changes for sub shell generation (#81740)

### What?

Implements a new sortable routes system that distinguishes between
source pages and rendered pages for sub-shell generation.

### Why?

The existing route sorting logic in Next.js doesn't account for the
distinction between the original page definition (`sourcePage`) and the
final rendered route (`page`). This is critical for sub-shell
generation, given this example:

| Page | Source Page |
|--------|--------|
| `/en/[teamSlug]/[projectSlug]/monitoring` |
`/[lang]/[teamSlug]/[projectSlug]/monitoring` |
| `/fr/[teamSlug]/[projectSlug]/monitoring` |
`/[lang]/[teamSlug]/[projectSlug]/monitoring` |
| `/[lang]/[teamSlug]/~/monitoring` | `/[lang]/[teamSlug]/~/monitoring`
|

And a request to `/en/vercel/~/monitoring` that it will hit the
`/[lang]/[teamSlug]/~/monitoring` page instead of the
`/en/[teamSlug]/[projectSlug]/monitoring`. This is because we first need
to sort by the Source Page and then the Page to ensure that the correct
route ordering is respected.

### How?

- Adds new `SortableRoute` type that tracks both `sourcePage` and `page`
- Implements depth-first route comparison algorithm that properly
handles segment specificity
- Refactors build process to use the new sorting functions instead of
legacy `getSortedRoutes`
- Adds source page tracking for PPR-enabled routes with
`clientSegmentEnabled`
- Includes comprehensive test coverage for all route sorting scenarios

The new sorting algorithm ensures consistent route ordering across
builds and proper sub-shell generation behavior.",1337,39,1376,6,307,243,0.79
cff812b4d02764961571069818e172053984003f,mischnic,2025-07-17 19:21:12+00:00,"Turbopack: include more details in panic (#81773)

<!-- Thanks for opening a PR! Your contribution is much appreciated.
To make sure your PR is handled as smoothly as possible we request that you follow the checklist sections below.
Choose the right checklist for the change(s) that you're making:

## For Contributors

### Improving Documentation

- Run `pnpm prettier-fix` to fix formatting issues before opening the PR.
- Read the Docs Contribution Guide to ensure your contribution follows the docs guidelines: https://nextjs.org/docs/community/contribution-guide

### Adding or Updating Examples

- The ""examples guidelines"" are followed from our contributing doc https://github.com/vercel/next.js/blob/canary/contributing/examples/adding-examples.md
- Make sure the linting passes by running `pnpm build && pnpm lint`. See https://github.com/vercel/next.js/blob/canary/contributing/repository/linting.md

### Fixing a bug

- Related issues linked using `fixes #number`
- Tests added. See: https://github.com/vercel/next.js/blob/canary/contributing/core/testing.md#writing-tests-for-nextjs
- Errors have a helpful link attached, see https://github.com/vercel/next.js/blob/canary/contributing.md

### Adding a feature

- Implements an existing feature request or RFC. Make sure the feature request has been accepted for implementation before opening a PR. (A discussion must be opened, see https://github.com/vercel/next.js/discussions/new?category=ideas)
- Related issues/discussions are linked using `fixes #number`
- e2e tests added (https://github.com/vercel/next.js/blob/canary/contributing/core/testing.md#writing-tests-for-nextjs)
- Documentation added
- Telemetry added. In case of a feature if it's used or not.
- Errors have a helpful link attached, see https://github.com/vercel/next.js/blob/canary/contributing.md


## For Maintainers

- Minimal description (aim for explaining to someone not on the team to understand the PR)
- When linking to a Slack thread, you might want to share details of the conclusion
- Link both the Linear (Fixes NEXT-xxx) and the GitHub issues
- Add review comments if necessary to explain to the reviewer the logic behind a change

### What?

### Why?

### How?

Closes NEXT-
Fixes #

-->",4,1,5,34,340,285,0.84
a093d32d3e6f90d5afd3ac7d0dd1e4c6267f505c,mischnic,2025-07-17 18:39:12+00:00,"Turbopack: consistently name runtime chunk (#81769)

Name runtime chunks like this: `bench/basic-app/.next/static/chunks/turbopack-5356a889447ffe6d.js`",145,104,249,34,340,285,0.84
