sha,author,time,add,del,total,msg
c435a4f487e8c6a3b23dafbda87d971d4fd14e0b,torvalds,2025-07-04 17:23:29+00:00,5,4,9,Merge tag 'riscv-for-linus-6.16-rc5' of git://git.kernel.org/pub/scm/linux/kernel/git/riscv/linux
4b02ed4ab721f559e843251564a3ea6ae1769a83,torvalds,2025-07-04 17:14:49+00:00,25,20,45,Merge tag 'regulator-fix-v6.16-rc4' of git://git.kernel.org/pub/scm/linux/kernel/git/broonie/regulator
a1d8128f701682d34d9308c9e6b7385c0ffa4b4b,torvalds,2025-07-04 17:10:49+00:00,61,11,72,Merge tag 'spi-fix-v6.16-rc4' of git://git.kernel.org/pub/scm/linux/kernel/git/broonie/spi
df46426745ac58618c822ce3f93d2bb25b9a5060,torvalds,2025-07-04 17:05:31+00:00,250,140,390,Merge tag 'platform-drivers-x86-v6.16-3' of git://git.kernel.org/pub/scm/linux/kernel/git/pdx86/platform-drivers-x86
3c2bd251d2039ce2778c35ced5ef47b3a379f5df,torvalds,2025-07-04 16:57:12+00:00,160,85,245,Merge tag 'usb-6.16-rc5' of git://git.kernel.org/pub/scm/linux/kernel/git/gregkh/usb
d46971e0b6f574059d167ddda1355ed301a0bae6,torvalds,2025-07-04 16:54:15+00:00,35,26,61,Merge tag 'input-for-v6.16-rc4' of git://git.kernel.org/pub/scm/linux/kernel/git/dtor/input
42bb9b630c4c6c0964cddca98d9d30aa992826de,torvalds,2025-07-04 16:48:36+00:00,632,293,925,Merge tag 'drm-fixes-2025-07-04' of https://gitlab.freedesktop.org/drm/kernel
923d401238c590f39833a2015f6f9493f146d98f,torvalds,2025-07-04 16:43:08+00:00,16,5,21,Merge tag 'iommu-fixes-v6.16-rc4' of git://git.kernel.org/pub/scm/linux/kernel/git/iommu/linux
1880df2cf44af6266b48a905596726c267bc2b04,torvalds,2025-07-04 16:33:59+00:00,38,13,51,Merge tag 'block-6.16-20250704' of git://git.kernel.dk/linux
482deed9dfa065cf3f68372dadac857541c7d504,torvalds,2025-07-04 16:29:22+00:00,93,54,147,Merge tag 'bcachefs-2025-07-03' of git://evilpiepirate.org/bcachefs
