author,commit_count,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio
A. Unique TensorFlower,85,9,138.51764705882354,72.4235294117647,210.94117647058823,12821,108.07058823529412,0.058823529411764705
Adrian Kuegel,13,7,129.92307692307693,112.0,241.92307692307693,1732,224.07692307692307,0.0
Alex Pivovarov,1,1,583.0,0.0,583.0,583,829.0,0.0
Alexander Belyaev,3,3,285.3333333333333,64.66666666666667,350.0,514,79.66666666666667,0.0
Alexander Lyashuk,4,3,79.25,28.25,107.5,204,173.5,0.0
Aliia Khasanova,4,4,191.25,81.5,272.75,733,288.5,0.0
Allan Renucci,17,8,147.47058823529412,180.76470588235293,328.2352941176471,2057,158.88235294117646,0.058823529411764705
Bart Chrzaszcz,1,1,40.0,1.0,41.0,41,304.0,0.0
Bixia Zheng,3,1,147.0,29.0,176.0,308,232.66666666666666,0.0
Bryan Massoth,1,1,2.0,0.0,2.0,2,69.0,0.0
Buddh Prakash,7,3,92.42857142857143,63.142857142857146,155.57142857142858,380,156.28571428571428,0.0
Chenhao Jiang,1,1,28.0,25.0,53.0,53,814.0,0.0
Christian Sigg,2,2,408.5,26.0,434.5,756,493.0,0.0
Chun-nien Chan,1,1,14.0,3.0,17.0,17,51.0,0.0
Daniel Chen,4,2,104.5,44.0,148.5,336,151.75,0.0
Daniel Sosa,2,2,1.5,1.5,3.0,4,54.0,0.0
David Dunleavy,8,4,15.0,90.875,105.875,476,131.625,0.0
David Pizzuto,3,3,23.666666666666668,14.666666666666666,38.333333333333336,86,308.0,0.0
Dirk Hornung,1,1,364.0,29.0,393.0,393,356.0,0.0
Emily Fertig,2,1,168.0,168.0,336.0,336,138.0,0.0
Eric Yang,1,1,211.0,68.0,279.0,279,1078.0,0.0
Eugene Zhulenev,11,5,103.9090909090909,47.18181818181818,151.0909090909091,481,92.0909090909091,0.0
Ezekiel Calubaquib,2,2,7.5,6.0,13.5,20,78.0,0.0
Goran Flegar,1,1,4.0,4.0,8.0,8,92.0,0.0
Greg Olechwierowicz,1,1,156.0,131.0,287.0,287,95.0,0.0
Haibo Huang,2,2,16.5,11.0,27.5,53,76.0,0.0
Henning Becker,7,4,188.42857142857142,19.714285714285715,208.14285714285714,888,392.42857142857144,0.0
Hyeontaek Lim,1,1,95.0,77.0,172.0,172,915.0,0.0
Ibrahim Umit Akgun,1,1,77.0,53.0,130.0,130,158.0,0.0
Ilya Tikhonovskiy,2,1,28.0,2.5,30.5,42,361.5,0.0
Ionel Gog,1,1,147.0,320.0,467.0,467,119.0,1.0
Jae H. Yoo,1,1,104.0,15.0,119.0,119,74.0,0.0
Jeffrey A. Dean,1,1,35.0,0.0,35.0,35,220.0,0.0
Jesse Rosenstock,1,1,2.0,4.0,6.0,6,176.0,0.0
Jian Cai,3,1,14.0,6.333333333333333,20.333333333333332,35,102.33333333333333,0.0
Julia Guo,1,1,0.0,4.0,4.0,4,81.0,0.0
Junwhan Ahn,2,2,1.0,6.5,7.5,11,101.5,0.0
Kanish Anand,1,1,1.0,2.0,3.0,3,58.0,0.0
Karlo Basioli,11,6,257.27272727272725,3.727272727272727,261.0,1537,112.0909090909091,0.0
Kevin Gleason,2,2,50.0,4.5,54.5,90,85.0,0.0
Majid Dadashi,1,1,3.0,3.0,6.0,6,177.0,0.0
Marcello Maggioni,2,2,200.5,53.0,253.5,451,220.5,0.0
Mason Chang,1,1,35.0,25.0,60.0,60,75.0,0.0
Michael Kuperstein,4,3,47.75,3.75,51.5,111,184.25,0.25
Michael Whittaker,1,1,0.0,25.0,25.0,25,59.0,0.0
Mikhail Goncharov,4,3,148.75,58.0,206.75,498,361.75,0.0
Mohammed Anany,1,1,295.0,87.0,382.0,382,300.0,0.0
Niklas Vangerow,1,1,2.0,2.0,4.0,4,108.0,0.0
Oleg Shyshkov,2,1,186.5,111.0,297.5,414,332.0,0.0
Parker Schuh,3,2,39.0,7.333333333333333,46.333333333333336,71,88.33333333333333,0.0
Sandeep Dasgupta,2,2,433.5,16.0,449.5,717,108.0,0.0
Sean Talts,3,2,300.6666666666667,48.333333333333336,349.0,816,584.0,0.0
Sergey Kozub,1,1,1016.0,57.0,1073.0,1073,776.0,0.0
Shahriar Rouf,3,3,24.666666666666668,24.666666666666668,49.333333333333336,140,309.6666666666667,0.0
Shaogang Wang,1,1,206.0,37.0,243.0,243,747.0,0.0
Siddhartha Menon,1,1,2.0,1.0,3.0,3,424.0,0.0
Siqiao Wu,1,1,5.0,1.0,6.0,6,64.0,0.0
Sohaib Iftikhar,1,1,50.0,31.0,81.0,81,296.0,0.0
