author,commit_count,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio
Aaron Thompson,1,1,4.0,11.0,15.0,15,1119.0,0.0
Al Viro,1,1,12.0,8.0,20.0,20,1626.0,0.0
Alessio Belle,1,1,2.0,2.0,4.0,4,1338.0,0.0
Alexander Stein,1,1,1.0,1.0,2.0,2,632.0,0.0
Alok Tiwari,3,3,2.0,4.0,6.0,12,876.6666666666666,0.6666666666666666
Anshuman Khandual,1,1,0.0,1.0,1.0,1,1126.0,0.0
Antoine Tenart,1,1,4.0,3.0,7.0,7,945.0,0.0
Arnd Bergmann,5,2,17.4,13.8,31.2,72,794.4,0.0
Baojun Xu,1,1,5.0,3.0,8.0,8,921.0,0.0
Bartosz Golaszewski,1,1,0.0,7.0,7.0,7,340.0,0.0
Ben Skeggs,1,1,14.0,6.0,20.0,20,568.0,0.0
Breno Leitao,1,1,8.0,3.0,11.0,11,910.0,0.0
Bui Quang Minh,4,1,15.5,9.75,25.25,38,687.5,0.0
Carolina Jubran,2,1,1.5,1.0,2.5,4,1487.5,0.0
Chen-Yu Tsai,1,1,1.0,1.0,2.0,2,535.0,1.0
Chintan Vankar,1,1,1.0,3.0,4.0,4,695.0,0.0
Christian Brauner,2,2,94.5,49.0,143.5,268,2053.5,0.0
Christophe JAILLET,1,1,1.0,0.0,1.0,1,596.0,1.0
Dan Carpenter,1,1,3.0,1.0,4.0,4,894.0,0.0
Daniel Gomez,1,1,1.0,1.0,2.0,2,874.0,0.0
Daniele Ceraolo Spurio,1,1,2.0,1.0,3.0,3,753.0,0.0
Danilo Krummrich,1,1,11.0,1.0,12.0,12,796.0,1.0
Dave Airlie,7,3,91.28571428571429,41.857142857142854,133.14285714285714,445,742.5714285714286,0.0
David Howells,6,3,23.5,14.166666666666666,37.666666666666664,106,1173.5,0.0
Deren Wu,2,1,4.5,0.0,4.5,6,2025.0,1.0
Edson Juliano Drosdeck,1,1,1.0,0.0,1.0,1,386.0,0.0
Eric Biggers,1,1,5.0,0.0,5.0,5,1632.0,0.0
Eric Dumazet,3,1,19.0,0.6666666666666666,19.666666666666668,53,853.6666666666666,0.0
EricChan,1,1,11.0,13.0,24.0,24,1494.0,0.0
Felix Fietkau,3,2,15.0,24.333333333333332,39.333333333333336,109,436.3333333333333,0.3333333333333333
Guillaume Nault,2,1,9.5,8.5,18.0,27,1086.0,0.0
Hangbin Liu,1,1,1.0,1.0,2.0,2,1001.0,0.0
Hans de Goede,1,1,4.0,4.0,8.0,8,1866.0,0.0
Haoxiang Li,1,1,5.0,0.0,5.0,5,532.0,0.0
Harry Austen,1,1,2.0,1.0,3.0,3,931.0,0.0
HarshaVardhana S A,1,1,2.0,2.0,4.0,4,1047.0,0.0
Henry Martin,1,1,2.0,0.0,2.0,2,604.0,0.0
Hugo Villeneuve,1,1,3.0,2.0,5.0,5,972.0,0.0
