author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
44670,1,1,31.0,0.0,31.0,31,166.0,0.0,1,1,1.0,1
ArkVex,1,1,12.0,12.0,24.0,24,173.0,0.0,4,1,0.25,1
ArthurZucker,4,4,530.5,1479.25,2009.75,7901,817.5,0.25,452,371,0.82,4
BenjaminBossan,2,1,14.5,3.5,18.0,32,298.5,0.0,11,11,1.0,2
Bpriya42,1,1,125.0,234.0,359.0,359,1479.0,0.0,1,1,1.0,1
ChongYou,1,1,2.0,1.0,3.0,3,122.0,0.0,1,1,1.0,1
Crystalcareai,1,1,1605.0,0.0,1605.0,1605,1737.0,0.0,2,1,0.5,1
Cyrilvallez,14,9,150.71428571428572,225.35714285714286,376.07142857142856,1840,150.07142857142858,0.0,132,118,0.89,14
DWarez,1,1,28.0,0.0,28.0,28,214.0,0.0,2,1,0.5,1
DavidS2106,1,1,5.0,1.0,6.0,6,298.0,0.0,1,1,1.0,1
EduardDurech,1,1,697.0,261.0,958.0,958,1071.0,0.0,3,1,0.33,1
FightingZhen,1,1,10.0,16.0,26.0,26,123.0,0.0,9,6,0.67,1
HRezaei,1,1,117.0,41.0,158.0,158,70.0,0.0,2,1,0.5,1
HollowMan6,1,1,9.0,1.0,10.0,10,313.0,0.0,2,2,1.0,1
IliasAarab,1,1,1.0,0.0,1.0,1,101.0,0.0,1,1,1.0,1
IlyasMoutawwakil,1,1,71.0,54.0,125.0,125,544.0,0.0,13,12,0.92,1
Isotr0py,2,2,12.5,4.5,17.0,22,433.5,0.0,25,23,0.92,2
JINO-ROHIT,1,1,1.0,1.0,2.0,2,58.0,0.0,5,3,0.6,1
JJJYmmm,1,1,201.0,245.0,446.0,446,183.0,0.0,6,3,0.5,1
JoosunH,1,1,454.0,0.0,454.0,454,1758.0,0.0,1,1,1.0,1
KKZ20,1,1,3.0,1.0,4.0,4,53.0,0.0,1,1,1.0,1
Krish0909,1,1,2.0,2.0,4.0,4,446.0,0.0,4,1,0.25,1
Kuangdd01,1,1,127.0,23.0,150.0,150,365.0,0.0,2,2,1.0,1
LckyLke,1,1,85.0,13.0,98.0,98,197.0,0.0,1,1,1.0,1
LoserCheems,1,1,2624.0,0.0,2624.0,2624,2911.0,0.0,4,2,0.5,1
LysandreJik,6,5,335.0,130.83333333333334,465.8333333333333,1339,629.8333333333334,0.0,555,484,0.87,6
MShaheerMalik77,1,1,88.0,33.0,121.0,121,346.0,0.0,1,1,1.0,1
McPatate,1,1,1.0,19.0,20.0,20,78.0,0.0,16,12,0.75,1
MekkCyber,2,2,8.0,21.5,29.5,56,118.0,0.0,82,73,0.89,2
MilkClouds,1,1,2.0,2.0,4.0,4,172.0,0.0,2,2,1.0,1
MinJu-Ha,1,1,397.0,115.0,512.0,512,2064.0,0.0,3,2,0.67,1
NahieliV,1,1,499.0,47.0,546.0,546,454.0,0.0,2,2,1.0,1
NielsRogge,1,1,0.0,0.0,0.0,0,82.0,0.0,336,277,0.82,1
ParagEkbote,1,1,90.0,84.0,174.0,174,735.0,0.0,6,6,1.0,1
Phoenix-Shen,1,1,2.0,12.0,14.0,14,532.0,0.0,2,1,0.5,1
Rocketknight1,4,3,74.25,59.0,133.25,512,134.25,0.0,398,351,0.88,4
RyanMullins,2,2,4367.5,6.0,4373.5,8723,13874.0,0.0,9,8,0.89,2
S1ro1,1,1,0.0,1.0,1.0,1,45.0,0.0,9,6,0.67,1
Shohail-Ismail,1,1,2.0,1.0,3.0,3,148.0,0.0,1,1,1.0,1
Stonepia,1,1,57.0,27.0,84.0,84,444.0,0.0,1,1,1.0,1
SunMarc,4,4,53.0,4.75,57.75,188,215.0,0.0,135,119,0.88,4
Tanuj-rai,2,2,24.5,11.5,36.0,70,483.0,0.0,10,4,0.4,2
Tavish9,1,1,32.0,25.0,57.0,57,200.0,0.0,3,3,1.0,1
Vaibhavs10,2,2,40.0,22.0,62.0,94,208.0,0.0,8,6,0.75,2
VladOS95-cyber,1,1,1913.0,0.0,1913.0,1913,1311.0,0.0,16,13,0.81,1
VladimirGutuev,1,1,2.0,2.0,4.0,4,244.0,0.0,1,1,1.0,1
Wauplin,1,1,1.0,3.0,4.0,4,35.0,0.0,37,33,0.89,1
Xiang-cd,1,1,1.0,1.0,2.0,2,55.0,0.0,1,1,1.0,1
ahadnagy,2,1,92.0,7.0,99.0,196,199.0,0.0,11,7,0.64,2
alex-jw-brooks,1,1,6.0,3.0,9.0,9,93.0,0.0,14,9,0.64,1
alvarobartt,1,1,1.0,1.0,2.0,2,48.0,0.0,5,5,1.0,1
anton-l,1,1,1879.0,0.0,1879.0,1879,570.0,0.0,47,41,0.87,1
avihu111,3,3,14.666666666666666,14.666666666666666,29.333333333333332,39,985.0,0.0,3,3,1.0,3
buttercrab,1,1,5732.0,28.0,5760.0,5760,6210.0,0.0,2,1,0.5,1
bvantuan,3,3,98.0,50.666666666666664,148.66666666666666,327,307.6666666666667,0.0,6,3,0.5,3
