author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
CheeseCake87,1,1,2.0,1.0,3.0,3,183.0,0.0,1,1,1.0,1
CoolCat467,1,1,6.0,0.0,6.0,6,36.0,0.0,1,1,1.0,1
JamesMRamm,1,1,1.0,1.0,2.0,2,54.0,0.0,1,1,1.0,1
Resistor-git,2,1,0.5,0.5,1.0,2,50.0,1.0,1,1,1.0,2
Siecje,1,1,4.0,1.0,5.0,5,27.0,0.0,1,1,1.0,1
ThisIzAli2,1,1,1.0,1.0,2.0,2,45.0,1.0,2,1,0.5,1
akinolaemmanuel49,1,1,5.0,1.0,6.0,6,115.0,0.0,1,1,1.0,1
amrear,1,1,1.0,1.0,2.0,2,39.0,0.0,1,1,1.0,1
azmeuk,1,1,6.0,0.0,6.0,6,235.0,0.0,1,1,1.0,1
brendon-codes,1,1,22.0,19.0,41.0,41,23.0,0.0,4,0,0.0,1
dannyi96,1,1,3.0,1.0,4.0,4,33.0,0.0,1,1,1.0,1
davidism,230,65,63.356521739130436,42.995652173913044,106.35217391304347,3357,41.96086956521739,0.3347826086956522,288,285,0.99,230
dependabot[bot],19,11,5.7368421052631575,5.7368421052631575,11.473684210526315,30,1597.9473684210527,0.15789473684210525,107,60,0.56,19
dunkmann00,1,1,5.0,1.0,6.0,6,533.0,0.0,1,1,1.0,1
firefly-cpp,1,1,1.0,1.0,2.0,2,50.0,1.0,1,1,1.0,1
greyli,1,1,1.0,1.0,2.0,2,25.0,1.0,76,54,0.71,1
huebs,1,1,2.0,2.0,4.0,4,52.0,0.0,1,1,1.0,1
jayaddison,1,1,15.0,5.0,20.0,20,598.0,0.0,0,0,,1
kotvkvante,1,1,2.0,2.0,4.0,4,38.0,1.0,1,1,1.0,1
kurtatter,1,1,4.0,1.0,5.0,5,37.0,1.0,1,1,1.0,1
lizardwine,1,1,4.0,1.0,5.0,5,62.0,0.0,1,1,1.0,1
nick2202,1,1,1.0,1.0,2.0,2,42.0,0.0,1,1,1.0,1
pgjones,14,13,125.35714285714286,100.64285714285714,226.0,2975,168.71428571428572,0.7857142857142857,35,30,0.86,14
pre-commit-ci[bot],8,7,1.0,1.0,2.0,2,166.0,0.0,40,36,0.9,8
r04922101,1,1,10.0,1.0,11.0,11,36.0,0.0,1,1,1.0,1
raboof,1,1,1.0,1.0,2.0,2,50.0,0.0,1,1,1.0,1
s-hamann,1,1,0.0,13.0,13.0,13,139.0,0.0,1,1,1.0,1
seiji-alyosha,1,1,4.0,4.0,8.0,8,81.0,0.0,1,1,1.0,1
strugee,1,1,1.0,1.0,2.0,2,28.0,1.0,1,1,1.0,1
webknjaz,1,1,5.0,3.0,8.0,8,209.0,0.0,1,1,1.0,1
zhuangzhuang,1,1,1.0,1.0,2.0,2,22.0,0.0,1,1,1.0,1
