author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
GleasonK,2,2,50.0,4.5,54.5,90,85.0,0.0,0,0,,2
ICGog,4,2,570.5,85.75,656.25,1093,92.5,0.5,0,0,,4
JohannesBuchner,1,1,50.0,35.0,85.0,85,61.0,0.0,1,1,1.0,1
KanishAnand,1,1,1.0,2.0,3.0,3,58.0,0.0,0,0,,1
Moerafaat,1,1,295.0,87.0,382.0,382,300.0,0.0,0,0,,1
SiqiaoWu1993,2,2,8.0,20.5,28.5,51,57.0,0.0,0,0,,2
Tixxx,2,2,344.0,39.0,383.0,720,867.5,0.0,3,3,1.0,2
WillFroom,21,6,113.19047619047619,23.80952380952381,137.0,523,86.47619047619048,0.0,0,0,,21
ZixuanJiang,1,1,41.0,11.0,52.0,52,134.0,0.0,0,0,,1
adityakakarot,1,1,37.0,81.0,118.0,118,256.0,0.0,0,0,,1
akuegel,12,6,130.58333333333334,110.75,241.33333333333334,1732,190.83333333333334,0.0,0,0,,12
allanrenucci,10,5,19.6,16.0,35.6,116,142.8,0.0,0,0,,10
amd-jianli12,1,1,4.0,4.0,8.0,8,969.0,0.0,0,0,,1
amd-songpiao,1,1,186.0,41.0,227.0,227,957.0,0.0,0,0,,1
apivovarov,1,1,583.0,0.0,583.0,583,829.0,0.0,5,3,0.6,1
bartchr808,1,1,231.0,47.0,278.0,278,81.0,0.0,0,0,,1
basioli-k,6,3,366.6666666666667,5.166666666666667,371.8333333333333,1537,122.0,0.0,0,0,,6
bchetioui,1,1,47.0,19.0,66.0,66,90.0,0.0,1,1,1.0,1
beckerhe,4,2,292.5,18.0,310.5,888,427.25,0.0,0,0,,4
berkinilbeyi,1,1,21.0,1.0,22.0,22,557.0,0.0,0,0,,1
bixia1,3,1,147.0,29.0,176.0,308,232.66666666666666,0.0,0,0,,3
blakehechtman,1,1,29.0,1.0,30.0,30,164.0,0.0,0,0,,1
bmass02,1,1,2.0,0.0,2.0,2,69.0,0.0,0,0,,1
chsigg,3,3,267.6666666666667,20.666666666666668,288.3333333333333,756,330.3333333333333,0.3333333333333333,2,1,0.5,3
d0k,1,1,0.0,69.0,69.0,69,148.0,0.0,0,0,,1
d4n1elchen,1,1,31.0,7.0,38.0,38,78.0,0.0,0,0,,1
ddunl,6,4,24.0,30.166666666666668,54.166666666666664,102,140.33333333333334,0.0,0,0,,6
derdrdirk,2,2,184.0,15.5,199.5,393,234.0,0.0,0,0,,2
ecalubaquib,2,2,190.5,14.0,204.5,402,68.0,0.0,0,0,,2
emilyfertig,3,2,225.66666666666666,7.0,232.66666666666666,577,154.0,0.3333333333333333,0,0,,3
ezhulenev,21,8,74.76190476190476,21.952380952380953,96.71428571428571,281,183.14285714285714,0.14285714285714285,3,3,1.0,21
felixwqp,2,2,168.5,28.0,196.5,310,164.0,0.5,0,0,,2
gflegar,1,1,4.0,4.0,8.0,8,92.0,0.0,0,0,,1
golechwierowicz,1,1,156.0,131.0,287.0,287,95.0,0.0,0,0,,1
hmonishN,1,1,2241.0,1.0,2242.0,2242,638.0,0.0,0,0,,1
isharif168,1,1,41.0,7.0,48.0,48,1596.0,0.0,0,0,,1
iumitakgun,2,2,48.0,24.0,72.0,90,151.0,0.0,0,0,,2
jcai19,4,2,22.0,8.25,30.25,60,131.75,0.0,0,0,,4
jeffreyadean,1,1,35.0,0.0,35.0,35,220.0,0.0,0,0,,1
