author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
Hakon-Bugge,1,1,1.0,2.0,3.0,3,1263.0,0.0,0,0,,1
JasonXing,1,1,4.0,6.0,10.0,10,1096.0,0.0,0,0,,1
LeviYeoReum,1,1,2.0,43.0,45.0,45,1638.0,0.0,0,0,,1
LorenzoBianconi,5,1,33.4,22.8,56.2,86,612.0,0.0,0,0,,5
LuBaolu,1,1,14.0,4.0,18.0,18,1038.0,1.0,0,0,,1
Miriam-Rachel,2,1,3.0,3.5,6.5,9,917.5,0.0,0,0,,2
Mixaill,2,2,6.0,0.0,6.0,9,612.5,0.5,0,0,,2
Panky-codes,1,1,5.0,0.0,5.0,5,1789.0,0.0,0,0,,1
RichardWeiYang,1,1,1.0,0.0,1.0,1,817.0,0.0,0,0,,1
ShuichengLin,3,2,11.333333333333334,5.0,16.333333333333332,38,794.3333333333334,0.0,0,0,,3
Vudentz,4,3,1.5,1.0,2.5,3,403.5,0.0,0,0,,4
airlied,6,3,95.33333333333333,43.666666666666664,139.0,445,776.3333333333334,0.0,0,0,,6
alessiob-img,1,1,2.0,2.0,4.0,4,1338.0,0.0,0,0,,1
aloktiwa,2,2,2.0,5.0,7.0,12,980.0,0.5,0,0,,2
andy-shev,1,1,1.0,1.0,2.0,2,998.0,0.0,0,0,,1
arndb,10,4,19.4,7.0,26.4,116,790.1,0.0,0,0,,10
axboe,4,3,11.75,3.75,15.5,34,985.5,0.25,0,0,,4
bonzini,4,2,41.5,17.75,59.25,140,868.25,0.0,0,0,,4
broonie,2,2,19.5,18.5,38.0,57,1157.0,0.0,0,0,,2
chaseyu,3,3,3.6666666666666665,0.0,3.6666666666666665,6,515.3333333333334,0.0,0,0,,3
chintanv133,1,1,1.0,3.0,4.0,4,695.0,0.0,0,0,,1
cjubran,2,1,1.5,1.0,2.5,4,1487.5,0.0,0,0,,2
cyndis,1,1,2.0,4.0,6.0,6,433.0,0.0,0,0,,1
danvet,4,2,49.75,22.5,72.25,192,1474.5,0.0,0,0,,4
