author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
Anas-github-acc,1,1,182.0,81.0,263.0,263,510.0,0.0,1,1,1.0,1
Cy-Tek,3,3,147.33333333333334,14.666666666666666,162.0,213,903.3333333333334,0.0,16,16,1.0,3
Han5991,1,1,136.0,5.0,141.0,141,2150.0,0.0,2,1,0.5,1
MichalMoravik,1,1,19.0,19.0,38.0,38,2437.0,0.0,2,1,0.5,1
RobPruzan,7,6,799.1428571428571,377.42857142857144,1176.5714285714287,4487,794.4285714285714,0.14285714285714285,14,9,0.64,7
SyMind,2,2,117.5,90.0,207.5,385,1713.0,0.0,23,18,0.78,2
acdlite,3,2,129.33333333333334,31.0,160.33333333333334,339,700.3333333333334,0.0,145,131,0.9,3
ankur-arch,1,1,1291.0,0.0,1291.0,1291,532.0,0.0,1,1,1.0,1
bgub,2,2,1.0,0.5,1.5,2,105.5,0.0,7,4,0.57,2
bgw,11,9,178.9090909090909,111.18181818181819,290.09090909090907,993,850.7272727272727,0.0,335,315,0.94,11
carloitaben,1,1,4.0,5.0,9.0,9,115.0,0.0,1,1,1.0,1
delbaoliveira,2,2,3539.0,0.5,3539.5,7047,311.0,0.0,278,256,0.92,2
dnhn,2,2,84.5,1.0,85.5,169,139.0,0.5,5,5,1.0,2
eps1lon,32,12,154.5,107.28125,261.78125,1763,184.96875,0.09375,540,451,0.84,32
ethanniser,1,1,2.0,0.0,2.0,2,2504.0,0.0,1,1,1.0,1
fireairforce,3,3,19.0,2.3333333333333335,21.333333333333332,46,993.3333333333334,0.0,8,8,1.0,3
gaojude,2,2,46.5,1.0,47.5,91,117.5,0.0,134,108,0.81,2
gnoff,7,6,38.142857142857146,11.0,49.142857142857146,127,431.7142857142857,0.14285714285714285,162,136,0.84,7
hf,1,1,26.0,18.0,44.0,44,330.0,0.0,1,1,1.0,1
huozhi,24,10,461.0,359.0,820.0,13782,251.91666666666666,0.08333333333333333,1020,896,0.88,24
icyJoseph,7,4,19.142857142857142,3.2857142857142856,22.428571428571427,107,208.14285714285714,0.0,70,54,0.77,7
ijjk,13,4,92.15384615384616,31.53846153846154,123.6923076923077,957,301.53846153846155,0.0,1020,947,0.93,13
kdy1,3,2,56.666666666666664,56.0,112.66666666666667,274,306.3333333333333,0.0,669,541,0.81,3
kidonng,1,1,1.0,2.0,3.0,3,749.0,1.0,2,2,1.0,1
kristian240,1,1,38.0,21.0,59.0,59,1214.0,0.0,4,2,0.5,1
lubieowoce,1,1,25.0,10.0,35.0,35,1742.0,0.0,218,140,0.64,1
lukesandberg,7,6,77.28571428571429,45.0,122.28571428571429,408,717.7142857142857,0.0,83,69,0.83,7
maral,1,1,1.0,1.0,2.0,2,1958.0,0.0,1,1,1.0,1
mischnic,34,10,218.0,148.0,366.0,4427,564.5588235294117,0.0,340,285,0.84,34
nextjs-bot,38,16,610.6842105263158,442.63157894736844,1053.3157894736842,18680,31.5,0.10526315789473684,0,0,,38
nick20name17,1,1,14.0,4.0,18.0,18,696.0,0.0,2,1,0.5,1
padmaia,3,3,16.333333333333332,4.666666666666667,21.0,30,1131.0,0.0,96,83,0.86,3
prateekkish,1,1,39.0,4.0,43.0,43,519.0,0.0,1,1,1.0,1
rachnac-emeritus,1,1,5.0,5.0,10.0,10,172.0,0.0,1,1,1.0,1
rajrawat37,1,1,1.0,1.0,2.0,2,2666.0,1.0,1,1,1.0,1
raunofreiberg,2,2,322.5,13.5,336.0,663,507.0,0.0,35,30,0.86,2
rortan134,1,1,3.0,0.0,3.0,3,204.0,0.0,2,2,1.0,1
sajadtorkamani,1,1,1.0,1.0,2.0,2,2202.0,1.0,11,5,0.45,1
shantanu2307,1,1,4.0,2.0,6.0,6,379.0,0.0,1,1,1.0,1
skt-t1-byungi,1,1,28.0,1.0,29.0,29,1220.0,0.0,1,1,1.0,1
sokra,12,6,145.25,52.5,197.75,530,718.3333333333334,0.0,957,847,0.89,12
styfle,3,2,90.33333333333333,38.333333333333336,128.66666666666666,253,303.0,0.0,566,521,0.92,3
timneutkens,2,2,38.5,7.5,46.0,90,334.0,0.0,1020,933,0.91,2
unstubbable,25,11,417.04,394.28,811.32,6109,468.32,0.04,331,294,0.89,25
vercel-release-bot,18,10,643.0555555555555,489.22222222222223,1132.2777777777778,13290,154.05555555555554,0.0,0,0,,18
wyattjoh,6,5,638.0,65.83333333333333,703.8333333333334,1508,1416.1666666666667,0.0,307,243,0.79,6
xusd320,1,1,7.0,9.0,16.0,16,112.0,0.0,12,5,0.42,1
ztanner,7,6,189.42857142857142,611.0,800.4285714285714,4175,652.7142857142857,0.2857142857142857,633,579,0.91,7
