author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
Anas-github-acc,1,1,182.0,81.0,263.0,263,510.0,0.0,1,1,1.0,1
Cy-Tek,3,3,147.33333333333334,14.666666666666666,162.0,213,903.3333333333334,0.0,16,16,1.0,3
Han5991,1,1,136.0,5.0,141.0,141,2150.0,0.0,2,1,0.5,1
MichalMoravik,1,1,19.0,19.0,38.0,38,2437.0,0.0,2,1,0.5,1
RobPruzan,7,6,799.1428571428571,377.42857142857144,1176.571428571429,4487,794.4285714285714,0.1428571428571428,14,9,0.64,7
SyMind,2,2,117.5,90.0,207.5,385,1713.0,0.0,23,18,0.78,2
acdlite,3,2,129.33333333333334,31.0,160.33333333333334,339,700.3333333333334,0.0,145,131,0.9,3
ankur-arch,1,1,1291.0,0.0,1291.0,1291,532.0,0.0,1,1,1.0,1
bgub,2,2,1.0,0.5,1.5,2,105.5,0.0,7,4,0.57,2
bgw,11,9,178.9090909090909,111.1818181818182,290.09090909090907,993,850.7272727272727,0.0,335,315,0.94,11
carloitaben,1,1,4.0,5.0,9.0,9,115.0,0.0,1,1,1.0,1
delbaoliveira,2,2,3539.0,0.5,3539.5,7047,311.0,0.0,278,256,0.92,2
dnhn,2,2,84.5,1.0,85.5,169,139.0,0.5,5,5,1.0,2
eps1lon,32,12,154.5,107.28125,261.78125,1763,184.96875,0.09375,540,451,0.84,32
ethanniser,1,1,2.0,0.0,2.0,2,2504.0,0.0,1,1,1.0,1
fireairforce,3,3,19.0,2.3333333333333335,21.333333333333332,46,993.3333333333334,0.0,8,8,1.0,3
gaojude,2,2,46.5,1.0,47.5,91,117.5,0.0,134,108,0.81,2
gnoff,7,6,38.142857142857146,11.0,49.142857142857146,127,431.7142857142857,0.1428571428571428,162,136,0.84,7
hf,1,1,26.0,18.0,44.0,44,330.0,0.0,1,1,1.0,1
huozhi,24,10,461.0,359.0,820.0,13782,251.91666666666663,0.0833333333333333,1020,896,0.88,24
icyJoseph,7,4,19.142857142857142,3.2857142857142856,22.428571428571427,107,208.1428571428571,0.0,70,54,0.77,7
ijjk,13,4,92.15384615384616,31.53846153846154,123.6923076923077,957,301.53846153846155,0.0,1020,947,0.93,13
kdy1,3,2,56.666666666666664,56.0,112.66666666666669,274,306.3333333333333,0.0,669,541,0.81,3
kidonng,1,1,1.0,2.0,3.0,3,749.0,1.0,2,2,1.0,1
kristian240,1,1,38.0,21.0,59.0,59,1214.0,0.0,4,2,0.5,1
lubieowoce,1,1,25.0,10.0,35.0,35,1742.0,0.0,218,140,0.64,1
lukesandberg,7,6,77.28571428571429,45.0,122.28571428571428,408,717.7142857142857,0.0,83,69,0.83,7
