key,id,created,updated,resolution_date,summary,description,status,status_category,issue_type,priority,assignee,reporter,project_key,project_name,story_points,epic_link,components,labels,fix_versions
KAFKA-19512,13623502,2025-07-15T18:37:00.000+0000,2025-07-15T19:09:07.000+0000,,add missing MVs in MetadataVersionTest,"We need to add the 4.2 MVs in the following tests.
testFromVersionString()testShortVersion()
testVersion()",Patch Available,In Progress,Improvement,Minor,Dmitry Werner,Jun Rao,KAFKA,Kafka,,,,,
KAFKA-19511,13623487,2025-07-15T15:33:17.000+0000,2025-07-15T17:14:51.000+0000,,Fix flaky test HandlingSourceTopicDeletionIntegrationTest.shouldThrowErrorAfterSourceTopicDeleted,"The test org.apache.kafka.streams.integration.HandlingSourceTopicDeletionIntegrationTest.shouldThrowErrorAfterSourceTopicDeleted(boolean, TestInfo)[2] often fails.

Observed in:
 # [https://develocity.apache.org/scans/tests?search.names=Git%20branch&search.relativeStartTime=P28D&search.rootProjectNames=kafka&search.timeZoneId=America%2FLos_Angeles&search.values=trunk&tests.container=org.apache.kafka.streams.integration.HandlingSourceTopicDeletionIntegrationTest&tests.sortField=FLAKY&tests.test=shouldThrowErrorAfterSourceTopicDeleted(boolean%2C%20TestInfo)%5B2%5D]

 

This test has a high failure/flaky rate since July 9th.",Open,To Do,Improvement,Major,,Lucy Liu,KAFKA,Kafka,,,,,
KAFKA-19510,13623457,2025-07-15T11:50:27.000+0000,2025-07-15T12:57:40.000+0000,,Kafka Streams does not always release lock when adding or removing threads multiple times,"Kafka Streams seems to not always release the state directory lock for all tasks, when threads are added / removed. 

Effectively, the old thread (same name, different object) still seems to own the task.

To reproduce, checkout

[https://github.com/lucasbru/kafka/commit/2701dd39fe7df23a123939a1c9e140c849904b5f]

and run `AdjustStreamThreadCountTest > 
shouldAddAndRemoveThreadsMultipleTimes` ... multiple times.
 
The test was changed to use a stateful topology. 
 

I reproduced this on 3.9, 4.0, 4.1, trunk
 ",Open,To Do,Bug,Major,,Lucas Brutschy,KAFKA,Kafka,,,streams,,
KAFKA-19509,13623438,2025-07-15T08:43:06.000+0000,2025-07-15T09:15:41.000+0000,,Improve error message when release version is wrong,"When running kafka-storage.sh, if the release-version is wrongly set, we'll get the error messages including un-released metadata version:

 
{code:java}
> bin/kafka-storage.sh format --standalone -t kEzc4vk3TIKhCQKsh40klQ -c config/server.properties --release-version 4.0-IV4
Exception in thread ""main"" java.lang.IllegalArgumentException: Version 4.0-IV4 is not a valid version. The minimum version is 3.3-IV3 and the maximum version is 4.2-IV1
    at org.apache.kafka.server.common.MetadataVersion.lambda$fromVersionString$0(MetadataVersion.java:356)
    at java.base/java.util.Optional.orElseThrow(Optional.java:403)
    at org.apache.kafka.server.common.MetadataVersion.fromVersionString(MetadataVersion.java:354)
    at kafka.tools.StorageTool$.$anonfun$runFormatCommand$1(StorageTool.scala:133)
    at scala.Option.foreach(Option.scala:437)
    at kafka.tools.StorageTool$.runFormatCommand(StorageTool.scala:132)
    at kafka.tools.StorageTool$.execute(StorageTool.scala:86)
    at kafka.tools.StorageTool$.main(StorageTool.scala:46)
    at kafka.tools.StorageTool.main(StorageTool.scala)
 {code}

One idea is to improve this by relying on the internal config: `unstable.feature.versions.enable` to decide if we want to log the unstable feature versions. 

The other thought is we can mimic what Kafka-feature.sh did: 
{code:java}
 >  bin/kafka-features.sh --bootstrap-server localhost:9092 upgrade --release-version 4.0-IV4
[2025-07-15 16:31:53,280] WARN [AdminClient clientId=adminclient-1] 
Unknown metadata.version 4.1-IV4. Supported metadata.version are 3.3-IV3, 3.4-IV0, 3.5-IV0, 3.5-IV1, 3.5-IV2, 3.6-IV0, 3.6-IV1, 3.6-IV2, 3.7-IV0, 3.7-IV1, 3.7-IV2, 3.7-IV3, 3.7-IV4, 3.8-IV0, 3.9-IV0, 4.0-IV0, 4.0-IV1, 4.0-IV2, 4.0-IV3 {code}
It didn't output the supported versions to users.

 

 ",Open,To Do,Improvement,Major,,Luke Chen,KAFKA,Kafka,,,,,
KAFKA-19508,13623434,2025-07-15T07:58:00.000+0000,2025-07-15T15:20:51.000+0000,,Producer keeps reporting a NotLeaderOrFollowerException,"1.After the server restarts, the producer keeps reporting a NotLeaderOrFollowerException when producing messages.

!image-2025-07-15-15-55-01-596.png!

2.Check the zknode data; the leader is functioning normally.

!image-2025-07-15-15-59-02-855.png!
3.Strangely, at 04:34:01, the leader was 12, and at 04:34:16, the leader was 11, but the leaderEpoch did not change.

!image-2025-07-15-16-03-13-043.png!

!image-2025-07-15-16-01-59-877.png!
4.state-change logs

 ",Open,To Do,Bug,Blocker,,mooner,KAFKA,Kafka,,,"clients,core,producer ",,
KAFKA-19507,13623427,2025-07-15T07:30:09.000+0000,2025-07-15T07:58:11.000+0000,,Optimize Replica Assignment for Broker Load Balance in Uneven Rack Configurations,"h3. Issue Description

Kafka's current replica assignment strategy prioritizes _balancing replica counts across racks_ (availability zones in cloud environments) over _balancing replicas across individual brokers_. While this ensures rack diversity, it creates significant broker-level load imbalance when racks contain unequal numbers of brokers.
h3. Problem Illustration

Consider a 3-replica topic with 3 racks:
 * *Rack A*: Brokers 1, 4

 * *Rack B*: Brokers 2, 5

 * *Rack C*: Broker 3 (single broker)

Under the current strategy:
 * Brokers 1, 2, 4, 5 each receive 1/6 of all replicas

 * Broker 3 receives 1/3 of all replicas (twice the load of others)

This forces Broker 3 into a bottleneck (""bucket effect""), as it handles double the traffic and storage load.

 

To mitigate this, deployments today must maintain broker counts as _multiples of rack counts_ (e.g., 3, 6, 9 brokers for 3 racks). While this ensures balance, it:
 # *Restricts deployment flexibility*: Scaling clusters horizontally requires adding/removing nodes in rack-sized increments.

 # *Increases costs unnecessarily*: For example, a 4-broker cluster could suffice for a 3-rack setup, but users must deploy 6 brokers to maintain balance—increasing infrastructure costs by 50%.

h3. Proposed Solution

Modify the assignment strategy to:
 # *Prioritize broker-level balance* as the primary objective.

 # *Weight rack-level distribution* by broker count per rack (e.g., a rack with 2 brokers receives twice the replicas of a rack with 1 broker).

h4. Benefits
 * *Balanced load*: All brokers receive near-equal replicas regardless of rack imbalance.

 * *Deployment flexibility*: Clusters can scale to _any size_ as long as {{rack_count ≥ replica_factor}}.

 * *Cost efficiency*: Users deploy only necessary brokers.

h4. Example Scenario

_3 replicas, 4 racks with 5 brokers:_
 * *Rack A*: Brokers 1, 5 → Receives 2/5 of replicas (distributed evenly between Brokers 1 & 5)

 * *Racks B, C, D*: 1 broker each → Each receives 1/5 of replicas _Result_: Every broker handles exactly 1/5 of total replicas—eliminating bottlenecks.

h3. Request

We propose modifying the replica assignment algorithm to prioritize broker-level replica balance, while using rack-node-count-weighted distribution. This allows enterprises to deploy Kafka clusters with more flexible node counts, significantly improving cost efficiency while maintaining rack awareness.",Open,To Do,Improvement,Major,Jialun Peng,Jialun Peng,KAFKA,Kafka,,,,,
KAFKA-19506,13623422,2025-07-15T06:34:04.000+0000,2025-07-15T15:14:03.000+0000,,Implement dynamic compression type selection and fallback for client telemetry,"Kafka clients currently select the first compression type offered by the broker for telemetry push, often leading to errors if the required compression library (e.g., zstd, lz4, snappy) is not present in the client runtime. This causes telemetry push failures, while produce requests continue to work normally. Gzip is generally reliable as it is always present in the JDK, but other algorithms can trigger fatal exceptions, stopping further telemetry pushes.

This ticket proposes enhancing the Kafka client to dynamically select the best available compression type at runtime. If the initial compression attempt fails (e.g., due to a missing dependency), the client should automatically retry using the next broker-supported compression type. If none are available, it must gracefully fall back to sending uncompressed telemetry data, ensuring telemetry push always succeeds regardless of deployment environment or available libraries.",Open,To Do,Bug,Major,Kaushik Raina,Kaushik Raina,KAFKA,Kafka,,,,,4.2.0
KAFKA-19504,13623375,2025-07-14T17:12:28.000+0000,2025-07-15T17:45:04.000+0000,2025-07-15T00:41:22.000+0000,AdminClient creates and adds second metrics reporter ,"The `AdminClient` adds a telemetry reporter to the metrics reporters list in the constructor.  The problem is that the reporter was already added in the `createInternal` method.  In the `createInternal` method call, the `clientTelemetryReporter` is added to a `List<MetricReporters>` which is passed to the `Metrics` object, will get closed when `Metrics.close()` is called.  But adding a reporter to the reporters list in the constructor is not used by the `Metrics` object and hence doesn't get closed, causing a memory leak.  Note, this problem only exists if telemetry metrics is enabled for the `AdminClient` and it is disabled by default.",Resolved,Done,Bug,Blocker,Bill Bejeck,Bill Bejeck,KAFKA,Kafka,,,clients,,"4.0.1,4.1.0,4.2.0"
KAFKA-19501,13623318,2025-07-14T11:08:46.000+0000,2025-07-14T14:01:47.000+0000,,System tests should use 17-bullseye instead of 17-buster,"the version buster was removed from https://security.debian.org/debian-security, and hence the command ""apt update"" fails due to a 404 error (see below log)

{code:java}
 > [stage-1  2/59] RUN apt update && apt install -y sudo git netcat iptables rsync unzip wget curl jq coreutils openssh-server net-tools vim python3-pip python3-dev libffi-dev libssl-dev cmake pkg-config libfuse-dev iperf traceroute iproute2 iputils-ping && apt-get -y clean:                                                                                             
0.721                                                                                                                                                                                   
0.721 WARNING: apt does not have a stable CLI interface. Use with caution in scripts.                                                                                                   
0.721                                                                                                                                                                                   
0.901 Ign:1 http://security.debian.org/debian-security buster/updates InRelease
0.902 Err:2 http://security.debian.org/debian-security buster/updates Release
0.902   404  Not Found [IP: 151.101.194.132 80]
0.903 Ign:3 http://deb.debian.org/debian buster InRelease
0.906 Ign:4 http://deb.debian.org/debian buster-updates InRelease
0.909 Err:5 http://deb.debian.org/debian buster Release
0.909   404  Not Found [IP: 151.101.2.132 80]
0.911 Err:6 http://deb.debian.org/debian buster-updates Release
0.911   404  Not Found [IP: 151.101.2.132 80]

{code}

the simple approach is to use 17-bullseye instead of 17-buster ",Open,To Do,Bug,Major,Tsung-Han Ho,Chia-Ping Tsai,KAFKA,Kafka,,,,,
KAFKA-19500,13623313,2025-07-14T10:17:07.000+0000,2025-07-15T14:06:11.000+0000,,kafka-consumer-groups.sh should fail quickly if the partition leader is unavailable,"
{code:java}
Error: Executing consumer group command failed due to java.util.concurrent.ExecutionException: org.apache.kafka.common.errors.TimeoutException: Call(callName=listOffsets(api=METADATA), deadlineMs=1752487911886, tries=492805, nextAllowedTryMs=1752487912888) timed out at 1752487911888 after 492805 attempt(s)
java.lang.RuntimeException: java.util.concurrent.ExecutionException: org.apache.kafka.common.errors.TimeoutException: Call(callName=listOffsets(api=METADATA), deadlineMs=1752487911886, tries=492805, nextAllowedTryMs=1752487912888) timed out at 1752487911888 after 492805 attempt(s)
	at org.apache.kafka.tools.OffsetsUtils.getLogTimestampOffsets(OffsetsUtils.java:190)
	at org.apache.kafka.tools.OffsetsUtils.resetByDuration(OffsetsUtils.java:352)
	at org.apache.kafka.tools.consumer.group.ConsumerGroupCommand$ConsumerGroupService.prepareOffsetsToReset(ConsumerGroupCommand.java:1015)
	at org.apache.kafka.tools.consumer.group.ConsumerGroupCommand$ConsumerGroupService.resetOffsetsForInactiveGroup(ConsumerGroupCommand.java:704)
	at org.apache.kafka.tools.consumer.group.ConsumerGroupCommand$ConsumerGroupService.lambda$resetOffsets$24(ConsumerGroupCommand.java:681)
	at java.base/java.util.HashMap.forEach(HashMap.java:1429)
	at org.apache.kafka.tools.consumer.group.ConsumerGroupCommand$ConsumerGroupService.resetOffsets(ConsumerGroupCommand.java:675)
	at org.apache.kafka.tools.consumer.group.ConsumerGroupCommand.run(ConsumerGroupCommand.java:130)
	at org.apache.kafka.tools.consumer.group.ConsumerGroupCommand.main(ConsumerGroupCommand.java:110)
Caused by: java.util.concurrent.ExecutionException: org.apache.kafka.common.errors.TimeoutException: Call(callName=listOffsets(api=METADATA), deadlineMs=1752487911886, tries=492805, nextAllowedTryMs=1752487912888) timed out at 1752487911888 after 492805 attempt(s)
	at java.base/java.util.concurrent.CompletableFuture.reportGet(CompletableFuture.java:396)
	at java.base/java.util.concurrent.CompletableFuture.get(CompletableFuture.java:2073)
	at org.apache.kafka.common.internals.KafkaFutureImpl.get(KafkaFutureImpl.java:155)
	at org.apache.kafka.tools.OffsetsUtils.getLogTimestampOffsets(OffsetsUtils.java:167)
	... 8 more

{code}

`Admin#listOffsets` needs to communicate to the partition leader to get latest information. Hence, the call hangs if the node hosting the leader is unavailable. It should fail quickly by using `describeTopics` to check the leaders for all input partitions",Open,To Do,Improvement,Minor,kangning.li,Chia-Ping Tsai,KAFKA,Kafka,,,,,
