repo,total_merged_prs,passed_first_try,pass_rate
freeCodeCamp/freeCodeCamp,30,24,80.0
codecrafters-io/build-your-own-x,12,11,91.67
sindresorhus/awesome,18,15,83.33
EbookFoundation/free-programming-books,9,8,88.89
public-apis/public-apis,0,0,0.0
kamranahmedse/developer-roadmap,43,42,97.67
jwasham/coding-interview-university,13,13,100.0
donnemartin/system-design-primer,4,4,100.0
996icu/996.ICU,6,6,100.0
vinta/awesome-python,8,8,100.0
facebook/react,40,40,100.0
awesome-selfhosted/awesome-selfhosted,22,15,68.18
practical-tutorials/project-based-learning,0,0,0.0
vuejs/vue,2,2,100.0
TheAlgorithms/Python,13,12,92.31
torvalds/linux,1,1,100.0
trekhleb/javascript-algorithms,14,14,100.0
tensorflow/tensorflow,35,35,100.0
ossu/computer-science,34,32,94.12
getify/You-Dont-Know-JS,18,18,100.0
CyC2018/CS-Notes,4,4,100.0
ohmyzsh/ohmyzsh,28,24,85.71
Significant-Gravitas/AutoGPT,32,29,90.62
trimstray/the-book-of-secret-knowledge,15,13,86.67
microsoft/vscode,40,40,100.0
twbs/bootstrap,35,34,97.14
flutter/flutter,31,31,100.0
jackfrued/Python-100-Days,0,0,0.0
github/gitignore,29,28,96.55
jlevy/the-art-of-command-line,30,29,96.67
AUTOMATIC1111/stable-diffusion-webui,13,12,92.31
Snailclimb/JavaGuide,41,41,100.0
avelino/awesome-go,30,29,96.67
airbnb/javascript,2,1,50.0
huggingface/transformers,40,40,100.0
ollama/ollama,35,35,100.0
massgravel/Microsoft-Activation-Scripts,6,6,100.0
ytdl-org/youtube-dl,16,15,93.75
vercel/next.js,37,36,97.3
f/awesome-chatgpt-prompts,20,19,95.0
golang/go,0,0,0.0
labuladong/fucking-algorithm,25,24,96.0
yangshun/tech-interview-handbook,44,44,100.0
Genymobile/scrcpy,13,13,100.0
Chalarangelo/30-seconds-of-code,25,25,100.0
facebook/react-native,1,1,100.0
521xueweihan/HelloGitHub,16,16,100.0
microsoft/PowerToys,40,39,97.5
yt-dlp/yt-dlp,45,33,73.33
electron/electron,45,43,95.56
n8n-io/n8n,41,38,92.68
kubernetes/kubernetes,37,36,97.3
justjavac/free-programming-books-zh_CN,18,17,94.44
krahets/hello-algo,34,32,94.12
nodejs/node,37,35,94.59
langchain-ai/langchain,39,39,100.0
d3/d3,35,34,97.14
mrdoob/three.js,38,38,100.0
axios/axios,32,31,96.88
langgenius/dify,39,37,94.87
microsoft/TypeScript,20,16,80.0
rust-lang/rust,43,41,95.35
denoland/deno,48,46,95.83
excalidraw/excalidraw,30,30,100.0
facebook/create-react-app,11,10,90.91
goldbergyoni/nodebestpractices,26,25,96.15
ripienaar/free-for-dev,34,34,100.0
open-webui/open-webui,19,18,94.74
GrowingGit/GitHub-Chinese-Top-Charts,0,0,0.0
microsoft/terminal,43,35,81.4
godotengine/godot,43,40,93.02
angular/angular,5,5,100.0
deepseek-ai/DeepSeek-V3,10,10,100.0
mui/material-ui,30,30,100.0
fatedier/frp,27,27,100.0
