Developer,Total PRs,Merged PRs,Reverted PRs,Acceptance Rate
AlexGhiti,10,0,0,0.0
dependabot[bot],5,0,0,0.0
SekaiMoe,4,0,0,0.0
ghost,4,0,0,0.0
develop-class,3,0,0,0.0
Iwasaki136,2,0,0,0.0
flUCtoNE,2,0,0,0.0
atishp04,2,0,0,0.0
bjoto,2,0,0,0.0
BalaB306,2,0,0,0.0
jsbsamsara,2,0,0,0.0
arjunsbabu43,2,0,0,0.0
mmstick,2,0,0,0.0
riotoff,2,0,0,0.0
contiunity,2,0,0,0.0
Jack253-png,2,0,0,0.0
PennixRv,2,0,0,0.0
sdurawa,2,0,0,0.0
Steffo99,2,0,0,0.0
bluMATRIKZ,1,0,0,0.0
ShahzaibRK,1,0,0,0.0
ddiss,1,0,0,0.0
ThatOneDudeV69,1,0,0,0.0
LaurentiuM1234,1,0,0,0.0
asafelobotomy,1,0,0,0.0
izxl007,1,0,0,0.0
prassanna-prasath,1,0,0,0.0
Yuzuru10,1,0,0,0.0
aloktion,1,0,0,0.0
jemmy512,1,0,0,0.0
yunjianshijie,1,0,0,0.0
DiamondGotCat,1,0,0,0.0
rkarahan80,1,0,0,0.0
micromaomao,1,0,0,0.0
Kivilahti,1,0,0,0.0
clywm520,1,0,0,0.0
Void-404X,1,0,0,0.0
sametuca,1,0,0,0.0
jacobktm,1,0,0,0.0
AuntyEms,1,0,0,0.0
mattarroz,1,0,0,0.0
ThakaRashard,1,0,0,0.0
rikka-chunibyo,1,0,0,0.0
Ratnia,1,0,0,0.0
AncherbakNA,1,0,0,0.0
Mrz-creator,1,0,0,0.0
jakogut,1,0,0,0.0
kunal1601,1,0,0,0.0
iamvishnuks,1,0,0,0.0
Cheese-Space,1,0,0,0.0
bigbang009,1,0,0,0.0
rhvgoyal,1,0,0,0.0
Markusssssu,1,0,0,0.0
mahkoh,1,0,0,0.0
mlodyskiny,1,0,0,0.0
SmashedFrenzy16,1,0,0,0.0
mkopec,1,0,0,0.0
vagabond2522,1,0,0,0.0
arminask,1,0,0,0.0
net-slash,1,0,0,0.0
josemr36,1,0,0,0.0
Henrytos,1,0,0,0.0
devbrones,1,0,0,0.0
HeeMa6,1,0,0,0.0
RobinJehn,1,0,0,0.0
sunny73cr,1,0,0,0.0
ajaykumarkuruva,1,0,0,0.0
farhnkrnapratma,1,0,0,0.0
Aviz-X-Official,1,0,0,0.0
bus710,1,0,0,0.0
Ferkoslav,1,0,0,0.0
eliahreeves,1,0,0,0.0
artkay,1,0,0,0.0
ChickenMuggets,1,0,0,0.0
jjagielsk,1,0,0,0.0
zamroni111,1,0,0,0.0
ahoneybun,1,0,0,0.0
xuan-lab,1,0,0,0.0
danobi,1,0,0,0.0
paolonig,1,0,0,0.0
raphaelkaique1,1,0,0,0.0
tar-unix,1,0,0,0.0
soycarlo99,1,0,0,0.0
Muhammadaziz-beckend,1,0,0,0.0
cardigliano,1,0,0,0.0
vienatjeee,1,0,0,0.0
arturmaievskyi,1,0,0,0.0
GhostedGaming,1,0,0,0.0
guylamar2006,1,0,0,0.0
Martyvole,1,0,0,0.0
StanFromIreland,1,0,0,0.0
kmk140,1,0,0,0.0
