batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
10,1,9.6923,0.8811,0.8811,0.6994,1.2599,7844.0,778,1753395388,1753397664,11,2025-07-24,2025-07-24,0.63
52,5,7.6319,0.3816,0.636,0.2276,1.1443,3833.26,76,1747167028,1747766525,20,2025-05-13,2025-05-20,166.53
129,2,7.3564,0.9195,1.0509,0.5554,1.6224,23975.0,106,1736356278,1736437918,8,2025-01-08,2025-01-09,22.68
33,11,6.6844,0.2089,0.6138,0.0242,1.5537,17000.0,408,1749307209,1750276943,32,2025-06-07,2025-06-18,269.37
7,7,6.4032,0.1731,0.3767,0.0856,1.3982,7842.0,264,1753453003,1753852338,37,2025-07-25,2025-07-30,110.93
130,6,6.1175,0.322,0.6063,0.1709,1.2788,8646.0,111,1735926799,1736356110,19,2025-01-03,2025-01-08,119.25
147,5,5.8431,0.3652,0.5843,0.2738,1.0073,5301.0,178,1734116298,1734365883,16,2024-12-13,2024-12-16,69.33
22,8,5.8054,0.1759,0.2901,0.0748,1.3248,5457.0,140,1750875009,1751628559,33,2025-06-25,2025-07-04,209.32
102,9,5.2553,0.2102,0.4236,0.0687,1.4364,9479.0,258,1739896369,1740527749,25,2025-02-18,2025-02-25,175.38
70,9,4.439,0.2114,0.3516,0.0419,1.2946,4702.0,120,1744128701,1744736536,21,2025-04-08,2025-04-15,168.84
37,5,4.2435,0.2829,0.4715,0.1459,1.0728,3007.0,117,1748986231,1749231171,15,2025-06-03,2025-06-06,68.04
59,7,3.9093,0.17,0.299,0.0762,1.3409,11916.0,134,1745596348,1746070886,23,2025-04-25,2025-05-01,131.82
104,10,3.6756,0.1671,0.6063,-0.0146,1.5011,9070.0,177,1739297683,1739755692,22,2025-02-11,2025-02-17,127.22
53,6,3.1483,0.1968,0.2624,0.0922,1.32,5328.0,340,1746718013,1747166438,16,2025-05-08,2025-05-13,124.56
96,3,2.888,0.1699,0.271,0.1459,1.1395,4228.0,131,1741908709,1741988333,17,2025-03-13,2025-03-14,22.12
4,5,2.7207,0.1511,0.2068,0.1223,0.9705,4345.0,118,1754075434,1754492719,18,2025-08-01,2025-08-06,115.91
97,7,2.6198,0.1092,0.2976,0.0156,1.3843,7319.0,147,1741803635,1741907318,24,2025-03-12,2025-03-13,28.8
51,3,2.4768,0.1905,0.2479,0.1941,0.8646,2317.0,71,1747766931,1747944830,13,2025-05-20,2025-05-22,49.42
16,7,2.1946,0.1097,0.2743,0.0259,0.927,2698.52,75,1752066426,1752684095,20,2025-07-09,2025-07-16,171.57
21,3,1.9412,0.1387,0.2064,0.1817,0.6243,2416.0,42,1751630153,1751910513,14,2025-07-04,2025-07-07,77.88
60,3,1.9245,0.148,0.175,0.2631,0.527,1335.0,64,1745458317,1745528014,13,2025-04-24,2025-04-24,19.36
185,1,1.767,0.4417,0.4417,0.6639,0.6653,4872.0,52,1728574382,1728574806,4,2024-10-10,2024-10-10,0.12
131,3,1.7173,0.1561,0.2238,0.1968,0.7934,7394.0,58,1735842504,1735870989,11,2025-01-02,2025-01-03,7.91
54,10,1.6553,0.0788,0.2453,-0.0213,1.1635,4781.0,108,1746459958,1746717884,21,2025-05-05,2025-05-08,71.65
74,1,1.5565,0.1729,0.1729,0.518,0.3339,685.0,37,1743522284,1743605384,9,2025-04-01,2025-04-02,23.08
164,4,1.5298,0.153,0.4471,0.0225,1.1734,5029.0,244,1730849210,1730915413,10,2024-11-05,2024-11-06,18.39
86,5,1.4881,0.1353,0.4144,-0.0272,1.3723,14020.0,92,1742582642,1742786341,11,2025-03-21,2025-03-24,56.58
88,6,1.4632,0.077,0.1059,0.0733,0.5773,1524.0,67,1742413324,1742507376,19,2025-03-19,2025-03-20,26.13
98,9,1.4577,0.0694,0.4258,-0.0259,1.5006,9042.0,198,1741109674,1741789931,21,2025-03-04,2025-03-12,188.96
3,3,1.4484,0.1448,0.1832,0.2407,0.5049,3554.0,40,1754493661,1754578501,10,2025-08-06,2025-08-07,23.57
0,3,1.4281,0.0793,0.1551,0.1229,0.5313,1880.0,57,1754925159,1755021499,18,2025-08-11,2025-08-12,26.76
12,2,1.376,0.172,0.1966,0.4192,0.3771,1082.0,51,1753133797,1753393092,8,2025-07-21,2025-07-24,72.03
67,3,1.3103,0.0936,0.1092,0.3043,0.2689,411.0,28,1744840118,1745261000,14,2025-04-16,2025-04-21,116.91
19,3,1.2541,0.1792,0.3638,0.1369,1.0845,3192.0,108,1751986148,1752017817,7,2025-07-08,2025-07-08,8.8
115,8,1.0978,0.1098,1.0978,-0.2294,1.95,223977.0,315,1737719300,1738010396,10,2025-01-24,2025-01-27,80.86
56,3,1.0826,0.0984,0.167,0.1508,0.6528,4347.0,53,1746209712,1746231332,11,2025-05-02,2025-05-03,6.01
30,1,1.0752,0.2688,0.2688,0.6031,0.4457,2151.0,44,1750286881,1750287645,4,2025-06-18,2025-06-18,0.21
137,6,0.9901,0.0762,0.1901,-0.0258,1.0403,1358.0,89,1734449266,1734562272,13,2024-12-17,2024-12-18,31.39
43,2,0.8509,0.2127,0.2836,0.2805,0.7362,1477.0,51,1748925754,1748974594,4,2025-06-03,2025-06-03,13.57
151,8,0.8124,0.0739,0.3483,-0.0862,1.3575,6411.0,156,1733847899,1734030646,11,2024-12-10,2024-12-12,50.76
63,3,0.7288,0.1458,0.3644,0.1087,0.7944,6279.0,40,1745365454,1745455898,5,2025-04-22,2025-04-24,25.12
179,4,0.7145,0.0794,0.1061,0.0765,0.717,2352.0,38,1729118690,1729272746,9,2024-10-16,2024-10-18,42.79
36,2,0.7131,0.1783,0.2377,0.3224,0.4869,1202.0,42,1749232875,1749244455,4,2025-06-06,2025-06-06,3.22
85,2,0.641,0.2137,0.3205,0.2587,0.771,2075.0,83,1742786755,1742825995,3,2025-03-24,2025-03-24,10.9
186,7,0.606,0.0379,0.202,-0.0564,0.7861,2670.0,59,1728347861,1728573891,16,2024-10-08,2024-10-10,62.79
75,1,0.5776,0.2888,0.2888,0.5531,0.5221,1099.0,48,1743465950,1743522213,2,2025-04-01,2025-04-01,15.63
32,1,0.5574,0.0929,0.0929,0.5474,0.1697,1017.0,28,1750276952,1750286603,6,2025-06-18,2025-06-18,2.68
105,3,0.5344,0.0891,0.2813,0.0028,-0.5857,49.0,7,1738968549,1739220407,6,2025-02-07,2025-02-10,69.96
57,2,0.4844,0.0605,0.0699,0.1729,0.3501,919.0,32,1746128657,1746209180,8,2025-05-01,2025-05-02,22.37
132,6,0.4828,0.0345,0.1935,-0.0608,1.2101,4650.0,79,1734731701,1735841049,14,2024-12-20,2025-01-02,308.15
133,2,0.4771,0.1193,0.1367,0.2433,0.4903,2383.0,47,1734716473,1734726330,4,2024-12-20,2024-12-20,2.74
170,6,0.4698,0.0671,0.3668,-0.055,1.4217,8809.0,99,1730744345,1730838354,7,2024-11-04,2024-11-05,26.11
160,6,0.4643,0.031,0.1421,-0.0788,0.6065,1554.0,70,1731604251,1731693979,15,2024-11-14,2024-11-15,24.92
24,3,0.451,0.1128,0.2058,0.111,0.7228,2553.0,52,1750723624,1750797328,4,2025-06-24,2025-06-24,20.47
182,4,0.4498,0.1125,0.1955,-0.2282,-0.4928,83.0,6,1728688785,1728919247,4,2024-10-11,2024-10-14,64.02
81,3,0.4426,0.0885,0.2213,0.0754,0.6748,1945.0,53,1743005097,1743014423,5,2025-03-26,2025-03-26,2.59
174,5,0.4354,0.0871,0.1474,-0.2429,-0.3585,134.0,11,1729619518,1729697913,5,2024-10-22,2024-10-23,21.78
72,3,0.43,0.086,0.1433,0.1413,0.3198,895.0,29,1743737609,1744034887,5,2025-04-04,2025-04-07,82.58
15,3,0.4275,0.1069,0.2137,0.0498,0.6916,1866.0,76,1752685775,1752970406,4,2025-07-16,2025-07-20,79.06
47,4,0.4018,0.067,0.1003,-0.2354,-0.2845,158.0,16,1748021113,1748442669,6,2025-05-23,2025-05-28,117.1
123,4,0.3923,0.049,0.1631,-0.0363,0.6067,3906.0,29,1736951553,1737047223,8,2025-01-15,2025-01-16,26.58
48,3,0.3897,0.1299,0.2714,-0.2143,-0.598,44.0,8,1747945103,1748009381,3,2025-05-22,2025-05-23,17.86
121,2,0.371,0.1855,0.2473,-0.1821,-1.0188,6.0,3,1737127354,1737128125,2,2025-01-17,2025-01-17,0.21
90,6,0.3537,0.0322,0.1432,-0.0634,0.9832,3422.0,76,1742313492,1742412307,11,2025-03-18,2025-03-19,27.45
141,2,0.3212,0.0642,0.1071,0.1707,0.2247,992.0,35,1734380113,1734385517,5,2024-12-16,2024-12-16,1.5
162,1,0.3197,0.1599,0.1599,0.5596,0.2857,1199.0,38,1730919610,1730988331,2,2024-11-06,2024-11-07,19.09
108,2,0.3197,0.1599,0.309,-0.1714,-0.9327,10.0,2,1738798292,1738881041,2,2025-02-05,2025-02-06,22.99
124,4,0.2939,0.049,0.1497,-0.1592,-0.3077,128.0,18,1736794171,1736950761,6,2025-01-13,2025-01-15,43.5
95,1,0.2871,0.0957,0.0957,0.5095,0.1878,611.0,23,1742066517,1742218627,3,2025-03-15,2025-03-17,42.25
91,3,0.2865,0.0409,0.0716,0.0739,0.2826,600.0,34,1742235197,1742304271,7,2025-03-17,2025-03-18,19.19
156,2,0.2689,0.0384,0.0538,0.2252,0.1562,581.0,20,1732031558,1732139681,7,2024-11-19,2024-11-20,30.03
23,2,0.2549,0.0637,0.0706,0.2211,0.2881,1459.0,14,1750797381,1750864489,4,2025-06-24,2025-06-25,18.64
128,4,0.2446,0.0349,0.0611,0.0384,0.232,986.0,36,1736440414,1736446404,7,2025-01-09,2025-01-09,1.66
148,4,0.2206,0.0441,0.1103,-0.0394,0.4661,1522.0,34,1734065617,1734110800,5,2024-12-13,2024-12-13,12.55
83,2,0.2025,0.0506,0.2025,-0.0125,-0.7006,27.0,7,1742855085,1742871647,4,2025-03-24,2025-03-25,4.6
171,3,0.2001,0.04,0.083,-0.0818,-0.2003,368.0,7,1730406285,1730735188,5,2024-10-31,2024-11-04,91.36
99,5,0.1992,0.0125,0.026,-0.0452,0.9826,1825.18,75,1740687897,1741107334,16,2025-02-27,2025-03-04,116.51
31,1,0.1953,0.0488,0.0488,0.5522,0.0884,1086.0,17,1750286613,1750286872,4,2025-06-18,2025-06-18,0.07
93,2,0.1903,0.0952,0.1903,-0.1154,-0.7915,21.0,2,1742228059,1742229987,2,2025-03-17,2025-03-17,0.54
150,2,0.181,0.0603,0.0905,0.0979,0.2995,360.0,35,1734030684,1734035163,3,2024-12-12,2024-12-12,1.24
120,3,0.1666,0.0555,0.1012,-0.1706,-0.2905,175.0,13,1737132150,1737135727,3,2025-01-17,2025-01-17,0.99
116,2,0.1458,0.0365,0.0486,0.1618,0.1334,668.0,33,1737575932,1737583781,4,2025-01-22,2025-01-22,2.18
176,2,0.1423,0.0474,0.0711,0.1216,0.2225,464.0,33,1729278146,1729386625,3,2024-10-18,2024-10-20,30.13
157,3,0.1385,0.0277,0.0543,0.0461,0.4087,1108.0,35,1731962302,1732008990,5,2024-11-18,2024-11-19,12.97
114,7,0.1363,0.0136,0.1363,-0.1955,0.743,1366.0,54,1738132970,1738305842,10,2025-01-29,2025-01-31,48.02
134,2,0.1351,0.0675,0.1351,-0.0572,-0.488,89.0,5,1734706130,1734713808,2,2024-12-20,2024-12-20,2.13
117,5,0.1263,0.018,0.0578,-0.1149,-0.1173,348.0,18,1737555348,1737574448,7,2025-01-22,2025-01-22,5.31
119,1,0.104,0.104,0.104,0.6058,0.1716,2231.0,11,1737140051,1737140051,1,2025-01-17,2025-01-17,0.0
111,5,0.0996,0.0199,0.0996,-0.1912,0.3294,1461.0,19,1738576798,1738696633,5,2025-02-03,2025-02-04,33.29
26,3,0.0907,0.0302,0.0907,-0.0845,0.2738,1113.0,19,1750687965,1750713678,3,2025-06-23,2025-06-23,7.14
64,2,0.0862,0.0287,0.0862,0.0731,-0.2935,206.0,9,1745353221,1745365149,3,2025-04-22,2025-04-22,3.31
159,3,0.078,0.013,0.039,-0.0652,0.2192,441.0,34,1731693989,1731711144,6,2024-11-15,2024-11-15,4.77
183,4,0.0733,0.0147,0.0733,-0.1492,0.3062,778.0,31,1728598367,1728688472,5,2024-10-10,2024-10-11,25.03
94,2,0.071,0.0355,0.0554,0.1756,0.2022,1075.0,11,1742225008,1742226005,2,2025-03-17,2025-03-17,0.28
112,4,0.071,0.0178,0.0455,-0.1353,0.3594,1243.0,26,1738351943,1738576787,4,2025-01-31,2025-02-03,62.46
155,2,0.0685,0.0228,0.0685,0.0833,0.2117,1216.0,29,1732227414,1732295713,3,2024-11-21,2024-11-22,18.97
13,2,0.0685,0.0342,0.045,0.1796,0.1906,1038.0,30,1753120438,1753128242,2,2025-07-21,2025-07-21,2.17
122,3,0.0665,0.0083,0.0111,0.1039,0.0468,374.0,18,1737047398,1737070751,8,2025-01-16,2025-01-16,6.49
135,6,0.0631,0.0057,0.021,-0.1171,0.4399,999.0,41,1734570590,1734637381,11,2024-12-19,2024-12-19,18.55
172,3,0.0593,0.0119,0.0198,0.0838,0.0642,833.0,20,1730128107,1730253101,5,2024-10-28,2024-10-30,34.72
127,2,0.0522,0.0174,0.0522,0.0658,-0.3996,135.0,6,1736446915,1736458620,3,2025-01-09,2025-01-09,3.25
78,3,0.0474,0.0158,0.0265,-0.0684,-0.1499,293.0,18,1743027179,1743174632,3,2025-03-26,2025-03-28,40.96
55,4,0.047,0.0094,0.0201,-0.1148,-0.0414,544.0,17,1746231332,1746459459,5,2025-05-03,2025-05-05,63.37
42,2,0.046,0.023,0.046,0.0229,-0.2954,195.0,10,1748977468,1748977813,2,2025-06-03,2025-06-03,0.1
109,3,0.0449,0.015,0.0449,-0.0855,-0.1056,405.0,16,1738701592,1738759968,3,2025-02-04,2025-02-05,16.22
