batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
3,16,9.4948,0.2374,0.7898,0.1014,1.4814,22802.0,755,1754608223,1754946498,40,2025-08-07,2025-08-11,93.97
94,8,7.0787,0.4164,0.9526,0.2693,1.3921,13891.0,360,1751474883,1751525055,17,2025-07-02,2025-07-03,13.94
60,11,5.3971,0.2453,0.6541,0.1233,1.3394,16385.0,504,1752225044,1752478615,22,2025-07-11,2025-07-14,70.44
31,10,4.7132,0.2618,0.7756,0.112,1.3816,9659.0,150,1753282229,1753326708,18,2025-07-23,2025-07-24,12.36
29,9,4.3544,0.2561,0.6904,0.1249,1.4388,17459.0,250,1753360863,1753469683,17,2025-07-24,2025-07-25,30.23
18,10,4.3244,0.2402,0.4393,0.1558,1.2575,10302.0,400,1753932543,1754041788,18,2025-07-31,2025-08-01,30.35
32,10,3.9541,0.2081,0.7116,0.0795,1.2934,5530.0,199,1753200461,1753282081,19,2025-07-22,2025-07-23,22.67
192,3,3.7012,0.4627,0.7049,0.5403,0.845,4363.0,92,1749556358,1749567815,8,2025-06-10,2025-06-10,3.18
28,7,3.3219,0.2555,0.5815,0.1651,1.1968,18708.0,187,1753470127,1753700404,13,2025-07-25,2025-07-28,63.97
11,11,3.2379,0.2159,0.7761,0.1175,1.1072,3425.0,191,1754177121,1754349905,15,2025-08-02,2025-08-04,48.0
46,6,2.9813,0.2981,0.4411,0.2184,1.1885,4528.0,198,1752701225,1752780072,10,2025-07-16,2025-07-17,21.9
149,2,2.9341,0.7335,1.0945,0.6309,1.1626,89227.0,165,1750420499,1750427265,4,2025-06-20,2025-06-20,1.88
111,5,2.8718,0.4103,0.7424,0.2204,1.2215,14567.0,299,1751266527,1751276270,7,2025-06-30,2025-06-30,2.71
142,9,2.5834,0.2153,0.9334,0.0103,1.4624,89118.0,207,1750548261,1750668339,12,2025-06-21,2025-06-23,33.35
0,16,2.5628,0.1068,0.3309,0.0342,1.1956,7263.0,570,1754988857,1755028428,24,2025-08-12,2025-08-12,10.99
