batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
2,2,18.5727,0.8442,0.9763,0.4713,1.7913,7800.0,469,1750710265,1754752343,22,2025-06-23,2025-08-09,1122.8
14,1,7.654,0.5467,0.5467,0.4984,1.097,455.0,21,1754410290,1754501752,14,2025-08-05,2025-08-06,25.41
0,1,6.6304,0.7367,0.7367,0.5479,1.3446,1108.0,31,1754802932,1755025833,9,2025-08-10,2025-08-12,61.92
3,11,3.2921,0.1568,0.4608,0.0068,1.6942,3593.0,159,1749593269,1754686243,21,2025-06-10,2025-08-08,1414.72
12,5,2.8836,0.2884,0.7084,0.1124,1.6238,2048.0,70,1753888565,1754541601,10,2025-07-30,2025-08-07,181.4
21,1,1.4125,1.4125,1.4125,0.8167,1.7294,897694.0,300,1754500134,1754500134,1,2025-08-06,2025-08-06,0.0
80,4,1.3569,0.2714,1.1737,0.0917,1.95,896277.0,308,1751300846,1754309781,5,2025-06-30,2025-08-04,835.82
9,1,1.3285,0.6642,0.6642,0.5258,1.2632,745.0,284,1752758486,1753429610,2,2025-07-17,2025-07-25,186.42
53,5,1.2851,0.1606,0.6426,0.0243,1.5543,1774.0,56,1754301423,1754401025,8,2025-08-04,2025-08-05,27.67
10,1,1.1127,1.1127,1.1127,0.7216,1.5421,24994.0,300,1754553319,1754553319,1,2025-08-07,2025-08-07,0.0
18,2,0.8304,0.2768,0.4152,0.2201,0.9808,733.0,5,1748902990,1752393928,3,2025-06-02,2025-07-13,969.7
17,7,0.819,0.0546,0.194,-0.006,1.3505,573.46,36,1748951828,1754504425,15,2025-06-03,2025-08-06,1542.39
64,1,0.7545,0.7545,0.7545,0.6128,1.2312,3553.0,24,1754350041,1754350041,1,2025-08-04,2025-08-04,0.0
87,1,0.7544,0.7544,0.7544,0.6128,1.2311,3550.0,94,1754254150,1754254150,1,2025-08-03,2025-08-03,0.0
83,1,0.7513,0.7513,0.7513,0.6118,1.2281,3485.0,106,1754263389,1754263389,1,2025-08-03,2025-08-03,0.0
32,1,0.7,0.7,0.7,0.5944,1.1777,2552.0,33,1754454772,1754454772,1,2025-08-06,2025-08-06,0.0
86,1,0.6511,0.6511,0.6511,0.5773,1.1278,1877.0,14,1754255522,1754255522,1,2025-08-03,2025-08-03,0.0
15,1,0.609,0.1522,0.1522,0.3795,0.4012,53.0,5,1754309414,1754410289,4,2025-08-04,2025-08-05,28.02
78,2,0.5938,0.2969,0.5605,0.2505,1.1851,2671.0,39,1754309881,1754320648,2,2025-08-04,2025-08-04,2.99
24,1,0.5523,0.5523,0.5523,0.5409,1.0211,977.0,26,1754484265,1754484265,1,2025-08-06,2025-08-06,0.0
73,4,0.5412,0.0902,0.2224,0.0225,1.0146,278.0,16,1752606674,1754263920,6,2025-07-15,2025-08-03,460.35
8,4,0.527,0.1054,0.2635,-0.0013,1.2175,180.0,11,1753120156,1754576506,5,2025-07-21,2025-08-07,404.54
81,1,0.4985,0.4985,0.4985,0.5199,0.9589,670.0,25,1754277454,1754277454,1,2025-08-04,2025-08-04,0.0
82,1,0.4276,0.4276,0.4276,0.4907,0.8715,396.0,8,1754273704,1754273704,1,2025-08-04,2025-08-04,0.0
75,1,0.4191,0.4191,0.4191,0.487,0.8606,371.0,20,1754323133,1754323133,1,2025-08-04,2025-08-04,0.0
101,1,0.3998,0.3998,0.3998,0.4786,0.8353,319.0,13,1754222193,1754222193,1,2025-08-03,2025-08-03,0.0
70,3,0.3782,0.0945,0.1891,0.0947,0.7029,208.0,5,1752868324,1753260289,4,2025-07-18,2025-07-23,108.88
23,6,0.3728,0.0621,0.3728,-0.0785,1.1948,1238.0,9,1753807220,1754491998,6,2025-07-29,2025-08-06,190.22
72,1,0.3582,0.3582,0.3582,0.46,0.7788,228.0,8,1754330076,1754330076,1,2025-08-04,2025-08-04,0.0
54,2,0.3355,0.1118,0.1436,0.2101,0.5323,251.0,3,1754391622,1754391622,3,2025-08-05,2025-08-05,0.0
84,1,0.3067,0.3067,0.3067,0.4788,0.6405,320.0,5,1754258584,1754258584,1,2025-08-03,2025-08-03,0.0
34,1,0.3052,0.3052,0.3052,0.4704,0.6488,275.0,4,1754444481,1754444481,1,2025-08-06,2025-08-06,0.0
91,2,0.2859,0.1429,0.2233,0.1494,0.957,147.0,5,1753984856,1754252712,2,2025-07-31,2025-08-03,74.4
16,1,0.2842,0.1421,0.1421,0.406,0.35,86.0,4,1754309412,1754309413,2,2025-08-04,2025-08-04,0.0
31,1,0.2748,0.2748,0.2748,0.4196,0.655,110.0,8,1754459579,1754459579,1,2025-08-06,2025-08-06,0.0
63,3,0.2724,0.0908,0.2724,-0.0271,0.9883,118.0,9,1753720289,1754350649,3,2025-07-28,2025-08-04,175.1
41,5,0.2628,0.0526,0.2628,-0.1128,1.1729,104.0,17,1752509305,1753357079,5,2025-07-14,2025-07-24,235.49
44,1,0.2424,0.2424,0.2424,0.4626,0.524,239.0,3,1754168135,1754168135,1,2025-08-02,2025-08-02,0.0
50,1,0.2348,0.2348,0.2348,0.397,0.5915,73.0,5,1754314804,1754314804,1,2025-08-04,2025-08-04,0.0
37,4,0.2344,0.0391,0.2344,-0.0404,1.0764,188.0,8,1752604191,1754325897,6,2025-07-15,2025-08-04,478.25
51,2,0.231,0.1155,0.231,0.096,0.7945,113.0,8,1753790628,1754314803,2,2025-07-29,2025-08-04,145.6
55,1,0.2289,0.2289,0.2289,0.4888,0.4683,383.0,2,1754391618,1754391618,1,2025-08-05,2025-08-05,0.0
85,1,0.2081,0.2081,0.2081,0.397,0.5241,73.0,6,1754255812,1754255812,1,2025-08-03,2025-08-03,0.0
56,1,0.1957,0.1957,0.1957,0.4375,0.4474,152.0,3,1754391618,1754391618,1,2025-08-05,2025-08-05,0.0
20,2,0.1776,0.0888,0.1776,0.0977,0.7507,72.0,7,1750839301,1753814489,2,2025-06-25,2025-07-29,826.44
1,4,0.1202,0.02,0.036,-0.0125,0.8589,111.0,7,1749624626,1754802699,6,2025-06-11,2025-08-10,1438.35
71,5,0.1077,0.0154,0.1077,-0.1075,0.8542,108.0,9,1751960838,1754320327,7,2025-07-08,2025-08-04,655.41
77,2,0.0903,0.0451,0.0903,0.0813,0.4967,44.0,9,1754119559,1754321866,2,2025-08-02,2025-08-04,56.2
13,2,0.0806,0.0403,0.0806,0.0743,0.2972,77.0,3,1753816352,1754501753,2,2025-07-29,2025-08-06,190.39
52,3,0.0771,0.0257,0.0771,0.007,0.269,175.0,3,1752672869,1754402103,3,2025-07-16,2025-08-05,480.34
36,3,0.0654,0.0218,0.0654,-0.0464,0.6528,30.0,5,1753710457,1754317207,3,2025-07-28,2025-08-04,168.54
29,2,0.0638,0.0319,0.0638,0.0692,0.2663,53.0,3,1754377785,1754418740,2,2025-08-05,2025-08-05,11.38
