sha,author_login,date,message,additions,deletions,total_changes
d86855a64789ccacd2d5a89e2815b2ee869562ad,connor4312,2025-07-16 23:10:47+00:00,"tools: update tools of a chat request when they change (#256321)

Makes the `userSelectedTools` passed into the chat agent service
observable such that the tools of the ongoing request update as new
tools come in. The benefit of this versus other (previous) approaches
is that it reflects the enablement/disablement state of the picker
(which is likely to get additional controls in the future) and works
without special tagging.

@roblourens / @DonJayamanne I think with this we can get rid of

https://github.com/microsoft/vscode-copilot-chat/blob/0d6f5516d2fef455340228fd7bc34a4f501725d3/src/extension/tools/vscode-node/toolsService.ts#L118-L122

which was added for Jupyter iirc.

Closes #254684",94,30,124
c8aac76f9f51c080c64478b756870eae4d3ad308,justschen,2025-07-16 22:18:42+00:00,"remove checkpoint from first request, edit rendering fix (#256340)",12,1,13
d21a5769ddc27bed795be10c629dbc554bbaba31,mjbvz,2025-07-16 20:35:44+00:00,"Merge pull request #256256 from andy0130tw/andy0130tw/support-locale-argument-in-tsserver-web

Support the locale argument of TypeScript language server on the web version (#256252)",11,1,12
71d320f7f250d79b4e3e0b5385be0e2ff25f7435,hediet,2025-07-16 19:48:21+00:00,Also send editTelemetry.reportEditArc after 60 seconds. (#256319),1,1,2
951c66ba5619ab15ac654498a56e963b6c78d586,hediet,2025-07-16 19:26:17+00:00,Updates distro (#256313),1,1,2
21f01347a5c1833154ade4d97375754967a2e5bd,hediet,2025-07-16 19:23:22+00:00,Fixes type (#256314),1,1,2
2bb5fd3baf936382d4ac7c877da3fc39a57e4eea,Tyriar,2025-07-16 19:16:26+00:00,"Merge pull request #256310 from microsoft/tyriar/build_broke

Fix public overridden prop",1,1,2
69c1d0823d1757c45310b5bfb394719ad9be700c,hediet,2025-07-16 19:14:15+00:00,EditReason -> EditSource (#256308),102,102,204
e6f1bbf1d4947f96e61c9fee6c6c6630a3b2d9a7,hediet,2025-07-16 19:13:40+00:00,edis -> replacements (#256309),14,14,28
72aaf2bc9f55a32e39592c81ea8c34fa6822cac5,nguyenchristy,2025-07-16 18:54:45+00:00,"Add worktree command (#255945)

* Basic functionality of adding worktree

* Code refactoring and clean up

* Remove accidentally added submodules

* Specify folder destination

* Remove default worktree path, always prompt for destination instead

* create worktree only displayed in repo's worktree subcommands

* Git - handle another error condition when detecting worktrees (#256278)

* Rework creating worktree flow

* Include worktree name placeholder

---------

Co-authored-by: Ladislau Szomoru <3372902+lszomoru@users.noreply.github.com>",102,3,105
89e21172867cd4b9e7ed0d3d56f542351e00cd12,Tyriar,2025-07-16 18:47:55+00:00,Fix public overridden prop,1,1,2
b9e82f6b6030a5c164132fa3bc2ccab71949c4cf,hediet,2025-07-16 18:39:02+00:00,Implements line based ARC tracking of Chat.applyEdits edits (#256303),514,336,850
844e739fbe8b952ec79631020564979d57c122a3,mjbvz,2025-07-16 18:32:07+00:00,"Merge pull request #256301 from mjbvz/alive-porcupine

Pick up TS 5.9-beta for built-in support",6,8,14
